cell_id Epithelial_cluster inferCNV_annotation
M5_B003648 Epithelial 22 tumor
M5_B003659 Epithelial 22 tumor
M6_B003648 Epithelial 22 tumor
M6_B003656 Epithelial 14 tumor
M7_B000861 Epithelial 17 tumor
M7_B003658 Epithelial 28 tumor
M8_B003648 Epithelial 22 tumor
M8_B003659 Epithelial 22 tumor
M9_B000863 Epithelial 17 tumor
N13_B001008 Epithelial 19 tumor
N13_B001010 Epithelial 19 tumor
N19_B003527 Epithelial 8 tumor
N1_B003656 Epithelial 28 tumor
N3_B000863 Epithelial 16 tumor
N4_B001464 Epithelial 19 tumor
N4_B003648 Epithelial 22 tumor
N5_B003648 Epithelial 22 tumor
N6_B000862 Epithelial 17 tumor
N6_B003648 Epithelial 22 tumor
N7_B003648 Epithelial 22 tumor
N7_B003663 Epithelial 28 tumor
N8_B003648 Epithelial 22 tumor
O10_B000861 Epithelial 17 tumor
O12_B000862 Epithelial 17 tumor
O14_B003103 Epithelial 19 tumor
O1_B000863 Epithelial 17 tumor
O1_B003648 Epithelial 22 tumor
O1_B003659 Epithelial 22 tumor
O20_B003105 Epithelial 19 tumor
O2_B003648 Epithelial 22 tumor
O3_B001464 Epithelial 19 tumor
O3_B003659 Epithelial 22 tumor
O4_B003648 Epithelial 22 tumor
O5_B000863 Epithelial 17 tumor
O7_B000861 Epithelial 17 tumor
O8_B003648 Epithelial 22 tumor
O9_B000861 Epithelial 17 tumor
P10_B000861 Epithelial 17 tumor
P11_B000861 Epithelial 17 tumor
P13_B003112 Epithelial 12 tumor
P1_B001464 Epithelial 19 tumor
P1_B003648 Epithelial 22 tumor
P2_B000861 Epithelial 17 tumor
P3_B000861 Epithelial 16 tumor
P4_B000861 Epithelial 17 tumor
P5_B000861 Epithelial 17 tumor
P6_B000863 Epithelial 17 tumor
P7_B000861 Epithelial 17 tumor
P8_B000861 Epithelial 17 tumor
P9_B000861 Epithelial 17 tumor
A3_1001000408 Epithelial 27 tumor
A13_B003777 Epithelial 18 tumor
A14_B003775 Epithelial 18 tumor
A14_B003776 Epithelial 2 tumor
A16_B003775 Epithelial 18 tumor
A16_B003776 Epithelial 18 tumor
A16_B003777 Epithelial 18 tumor
A17_B003775 Epithelial 18 tumor
A17_B003777 Epithelial 18 tumor
A19_B003777 Epithelial 18 tumor
A8_B001474 Epithelial 18 tumor
A9_B001474 Epithelial 18 tumor
B13_B003775 Epithelial 2 tumor
B14_B003776 Epithelial 18 tumor
B15_B003777 Epithelial 18 tumor
B16_B003775 Epithelial 18 tumor
B22_B003775 Epithelial 18 tumor
B6_B001474 Epithelial 18 tumor
B9_B001475 Epithelial 18 tumor
C14_B003776 Epithelial 2 tumor
C14_B003777 Epithelial 18 tumor
C17_B003776 Epithelial 18 tumor
C19_B003777 Epithelial 18 tumor
C1_B001474 Epithelial 18 tumor
C22_B003775 Epithelial 18 tumor
C4_B001474 Epithelial 18 tumor
D12_B003775 Epithelial 18 tumor
D12_B003777 Epithelial 18 tumor
D13_B003775 Epithelial 18 tumor
D13_B003776 Epithelial 18 tumor
D17_B003775 Epithelial 18 tumor
D3_B001474 Epithelial 2 tumor
D8_B001474 Epithelial 18 tumor
D8_B001475 Epithelial 18 tumor
E10_B001475 Epithelial 18 tumor
E12_B003775 Epithelial 18 tumor
E20_B003776 Epithelial 18 tumor
E21_B003777 Epithelial 2 tumor
E22_B003775 Epithelial 18 tumor
E7_B001474 Epithelial 18 tumor
E7_B001475 Epithelial 18 tumor
F15_B003775 Epithelial 18 tumor
F19_B003775 Epithelial 18 tumor
F20_B003777 Epithelial 18 nontumor
F22_B003775 Epithelial 18 tumor
F7_B001475 Epithelial 18 tumor
G20_B003775 Epithelial 18 tumor
G21_B003775 Epithelial 18 tumor
G22_B003775 Epithelial 18 tumor
G5_B001474 Epithelial 18 tumor
G5_B001475 Epithelial 18 tumor
G7_B001475 Epithelial 18 tumor
H10_B001475 Epithelial 18 tumor
H16_B003776 Epithelial 2 tumor
H17_B003775 Epithelial 18 tumor
H20_B003775 Epithelial 2 tumor
H22_B003777 Epithelial 18 tumor
H2_B001474 Epithelial 18 tumor
H8_B001470 Epithelial 18 tumor
H8_B001475 Epithelial 18 tumor
I15_B003777 Epithelial 2 tumor
I18_B003776 Epithelial 18 tumor
I18_B003777 Epithelial 18 tumor
I19_B003776 Epithelial 18 tumor
I1_B001470 Epithelial 18 tumor
I22_B003777 Epithelial 18 tumor
I4_B001474 Epithelial 18 tumor
I7_B001475 Epithelial 2 tumor
J14_B003777 Epithelial 18 tumor
J15_B003777 Epithelial 18 tumor
J21_B003775 Epithelial 18 tumor
J21_B003777 Epithelial 18 tumor
J9_B001475 Epithelial 18 tumor
K16_B003776 Epithelial 18 tumor
K18_B003776 Epithelial 2 tumor
K19_B003775 Epithelial 18 nontumor
K20_B003775 Epithelial 18 tumor
L11_B001475 Epithelial 18 tumor
L17_B003777 Epithelial 18 tumor
L18_B003777 Epithelial 2 tumor
L20_B003777 Epithelial 18 tumor
L22_B003775 Epithelial 18 tumor
M15_B003777 Epithelial 18 tumor
M17_B003775 Epithelial 18 tumor
M18_B003775 Epithelial 18 tumor
M21_B003775 Epithelial 18 tumor
M22_B003775 Epithelial 18 tumor
M6_B001475 Epithelial 18 tumor
M9_B001470 Epithelial 18 tumor
M9_B001475 Epithelial 18 tumor
N13_B003776 Epithelial 18 tumor
N16_B003775 Epithelial 18 tumor
N20_B003775 Epithelial 2 tumor
N5_B001475 Epithelial 18 tumor
N9_B001475 Epithelial 18 tumor
O14_B003775 Epithelial 18 tumor
O16_B003777 Epithelial 18 tumor
O17_B003775 Epithelial 18 tumor
O20_B003775 Epithelial 18 tumor
O21_B003775 Epithelial 18 tumor
O21_B003777 Epithelial 18 tumor
O22_B003775 Epithelial 18 tumor
P16_B003775 Epithelial 18 tumor
P17_B003777 Epithelial 18 tumor
P19_B003775 Epithelial 18 tumor
P19_B003776 Epithelial 2 tumor
P22_B003775 Epithelial 18 tumor
P22_B003777 Epithelial 18 tumor
G6_B001475 Epithelial 18 tumor
A12_B003776 Epithelial 2 tumor
A14_B003777 Epithelial 2 tumor
A15_B003776 Epithelial 2 tumor
A17_B003776 Epithelial 2 tumor
A18_B003775 Epithelial 2 tumor
A18_B003776 Epithelial 2 tumor
A18_B003777 Epithelial 2 tumor
A19_B003776 Epithelial 2 tumor
A21_B003775 Epithelial 2 tumor
A21_B003777 Epithelial 2 tumor
A22_B003776 Epithelial 2 tumor
A22_B003777 Epithelial 2 tumor
A5_B001474 Epithelial 2 tumor
A6_B001474 Epithelial 2 tumor
A9_B001475 Epithelial 2 tumor
B12_B003776 Epithelial 2 tumor
B13_B003776 Epithelial 2 tumor
B14_B003777 Epithelial 2 tumor
B15_B003776 Epithelial 2 tumor
B16_B003776 Epithelial 2 tumor
B16_B003777 Epithelial 2 tumor
B17_B003776 Epithelial 2 tumor
B18_B003776 Epithelial 2 tumor
B18_B003777 Epithelial 2 tumor
B19_B003776 Epithelial 2 tumor
B21_B003776 Epithelial 2 tumor
B21_B003777 Epithelial 2 tumor
B22_B003776 Epithelial 2 tumor
B8_B001475 Epithelial 2 tumor
C10_B001470 Epithelial 2 tumor
C13_B003775 Epithelial 2 tumor
C15_B003775 Epithelial 2 tumor
C15_B003776 Epithelial 2 tumor
C15_B003777 Epithelial 2 tumor
C16_B003776 Epithelial 2 tumor
C16_B003777 Epithelial 2 tumor
C17_B003775 Epithelial 2 tumor
C17_B003777 Epithelial 2 tumor
C18_B003776 Epithelial 2 tumor
C18_B003777 Epithelial 2 tumor
C20_B003775 Epithelial 2 tumor
C21_B003776 Epithelial 2 tumor
D10_B001474 Epithelial 2 tumor
D10_B001475 Epithelial 2 tumor
D11_B001474 Epithelial 2 tumor
D12_B003776 Epithelial 2 tumor
D14_B003776 Epithelial 2 tumor
D15_B003776 Epithelial 2 tumor
D16_B003776 Epithelial 2 tumor
D17_B003777 Epithelial 2 tumor
D18_B003776 Epithelial 2 tumor
D20_B003775 Epithelial 2 tumor
D20_B003776 Epithelial 2 tumor
D20_B003777 Epithelial 2 tumor
D22_B003776 Epithelial 2 tumor
D22_B003777 Epithelial 2 tumor
E13_B003775 Epithelial 2 tumor
E13_B003776 Epithelial 2 tumor
E14_B003776 Epithelial 2 tumor
E15_B003776 Epithelial 2 tumor
E16_B003777 Epithelial 2 tumor
E17_B003775 Epithelial 2 tumor
E17_B003776 Epithelial 2 tumor
E17_B003777 Epithelial 2 tumor
E18_B003776 Epithelial 2 tumor
E19_B003775 Epithelial 2 tumor
E19_B003776 Epithelial 2 tumor
E19_B003777 Epithelial 2 tumor
E21_B003776 Epithelial 2 tumor
E22_B003776 Epithelial 2 tumor
E9_B001470 Epithelial 2 tumor
F10_B001474 Epithelial 2 tumor
F12_B003776 Epithelial 2 tumor
F13_B003775 Epithelial 2 tumor
F13_B003776 Epithelial 2 tumor
F13_B003777 Epithelial 2 tumor
F14_B003775 Epithelial 2 tumor
F14_B003776 Epithelial 2 tumor
F14_B003777 Epithelial 2 tumor
F15_B003777 Epithelial 2 tumor
F16_B003776 Epithelial 2 tumor
F17_B003776 Epithelial 2 tumor
F21_B003777 Epithelial 2 tumor
F5_B001470 Epithelial 2 tumor
F6_B001474 Epithelial 2 tumor
F8_B001475 Epithelial 2 tumor
G11_B001475 Epithelial 2 tumor
G12_B003775 Epithelial 2 tumor
G12_B003776 Epithelial 2 tumor
G13_B003776 Epithelial 2 tumor
G13_B003777 Epithelial 2 tumor
G14_B003776 Epithelial 2 tumor
G14_B003777 Epithelial 2 tumor
G15_B003776 Epithelial 2 tumor
G16_B003776 Epithelial 2 tumor
G16_B003777 Epithelial 2 tumor
G17_B003775 Epithelial 2 tumor
G17_B003776 Epithelial 2 tumor
G18_B003775 Epithelial 2 tumor
G18_B003776 Epithelial 2 tumor
G19_B003776 Epithelial 2 tumor
G19_B003777 Epithelial 2 tumor
G20_B003776 Epithelial 2 tumor
G20_B003777 Epithelial 2 tumor
G21_B003776 Epithelial 2 tumor
G9_B001475 Epithelial 2 tumor
H12_B003776 Epithelial 2 tumor
H13_B003776 Epithelial 2 tumor
H14_B003775 Epithelial 2 tumor
H14_B003776 Epithelial 2 tumor
H15_B003776 Epithelial 2 tumor
H17_B003776 Epithelial 2 tumor
H17_B003777 Epithelial 2 tumor
H18_B003776 Epithelial 2 tumor
H18_B003777 Epithelial 2 tumor
H19_B003776 Epithelial 2 tumor
H20_B003776 Epithelial 2 tumor
H21_B003777 Epithelial 2 tumor
H22_B003776 Epithelial 2 tumor
H3_B001470 Epithelial 18 tumor
H9_B001470 Epithelial 2 tumor
I12_B003777 Epithelial 2 tumor
I13_B003775 Epithelial 2 tumor
I13_B003776 Epithelial 2 tumor
I13_B003777 Epithelial 2 tumor
I14_B003776 Epithelial 2 tumor
I15_B003775 Epithelial 2 tumor
I15_B003776 Epithelial 2 tumor
I16_B003775 Epithelial 2 tumor
I16_B003776 Epithelial 2 tumor
I16_B003777 Epithelial 2 tumor
I17_B003775 Epithelial 2 tumor
I17_B003776 Epithelial 2 tumor
I17_B003777 Epithelial 2 tumor
I20_B003776 Epithelial 2 tumor
I20_B003777 Epithelial 2 tumor
I21_B003775 Epithelial 2 tumor
I21_B003776 Epithelial 2 tumor
I21_B003777 Epithelial 2 tumor
I7_B001470 Epithelial 2 tumor
J11_B001474 Epithelial 2 tumor
J12_B003776 Epithelial 2 tumor
J13_B003776 Epithelial 2 tumor
J14_B003775 Epithelial 2 tumor
J16_B003776 Epithelial 2 tumor
J17_B003777 Epithelial 2 tumor
J18_B003777 Epithelial 2 tumor
J21_B003776 Epithelial 2 tumor
J22_B003777 Epithelial 2 tumor
J5_B001470 Epithelial 2 tumor
J8_B001470 Epithelial 2 tumor
K12_B003775 Epithelial 2 tumor
K12_B003776 Epithelial 2 tumor
K12_B003777 Epithelial 2 tumor
K13_B003776 Epithelial 2 tumor
K13_B003777 Epithelial 2 tumor
K14_B003775 Epithelial 2 tumor
K14_B003776 Epithelial 2 tumor
K15_B003776 Epithelial 2 tumor
K15_B003777 Epithelial 2 tumor
K16_B003777 Epithelial 2 tumor
K17_B003776 Epithelial 2 tumor
K17_B003777 Epithelial 2 tumor
K18_B003777 Epithelial 2 tumor
K19_B003777 Epithelial 2 tumor
K20_B003776 Epithelial 2 tumor
K20_B003777 Epithelial 2 tumor
K21_B003777 Epithelial 2 tumor
K22_B003776 Epithelial 2 tumor
K22_B003777 Epithelial 2 tumor
K4_B001470 Epithelial 2 tumor
K6_B001474 Epithelial 2 tumor
K7_B001474 Epithelial 2 tumor
K9_B001474 Epithelial 2 tumor
K9_B001475 Epithelial 2 tumor
L10_B001475 Epithelial 2 tumor
L11_B001474 Epithelial 2 tumor
L12_B003777 Epithelial 2 tumor
L13_B003776 Epithelial 2 tumor
L13_B003777 Epithelial 2 tumor
L14_B003776 Epithelial 2 tumor
L15_B003775 Epithelial 2 tumor
L15_B003776 Epithelial 2 tumor
L15_B003777 Epithelial 2 tumor
L16_B003777 Epithelial 2 tumor
L17_B003775 Epithelial 2 tumor
L17_B003776 Epithelial 2 tumor
L19_B003777 Epithelial 2 tumor
L20_B003776 Epithelial 2 tumor
L21_B003775 Epithelial 2 tumor
L21_B003776 Epithelial 2 tumor
L21_B003777 Epithelial 18 tumor
L22_B003776 Epithelial 2 tumor
L4_B001474 Epithelial 2 tumor
M10_B001474 Epithelial 2 tumor
M11_B001475 Epithelial 2 tumor
M12_B003777 Epithelial 2 tumor
M13_B003775 Epithelial 2 tumor
M13_B003776 Epithelial 2 tumor
M14_B003775 Epithelial 2 tumor
M14_B003776 Epithelial 2 tumor
M15_B003776 Epithelial 2 tumor
M16_B003775 Epithelial 2 tumor
M16_B003776 Epithelial 2 tumor
M16_B003777 Epithelial 2 tumor
M17_B003777 Epithelial 2 tumor
M19_B003776 Epithelial 2 tumor
M19_B003777 Epithelial 2 tumor
M22_B003776 Epithelial 2 tumor
M22_B003777 Epithelial 2 tumor
M2_B001470 Epithelial 2 tumor
N11_B001474 Epithelial 2 tumor
N12_B003776 Epithelial 2 tumor
N13_B003777 Epithelial 2 tumor
N14_B003776 Epithelial 2 tumor
N14_B003777 Epithelial 2 tumor
N15_B003775 Epithelial 2 tumor
N15_B003777 Epithelial 2 tumor
N16_B003776 Epithelial 2 tumor
N17_B003776 Epithelial 2 tumor
N18_B003775 Epithelial 2 tumor
N18_B003776 Epithelial 2 tumor
N18_B003777 Epithelial 2 tumor
N19_B003776 Epithelial 2 tumor
N20_B003776 Epithelial 2 tumor
N21_B003776 Epithelial 2 tumor
N21_B003777 Epithelial 2 tumor
N22_B003129 Epithelial 2 tumor
N22_B003776 Epithelial 2 tumor
N22_B003777 Epithelial 2 tumor
N7_B001475 Epithelial 2 tumor
O12_B003775 Epithelial 2 tumor
O12_B003776 Epithelial 2 tumor
O13_B003775 Epithelial 2 tumor
O13_B003776 Epithelial 2 tumor
O14_B003776 Epithelial 2 tumor
O15_B003775 Epithelial 2 tumor
O15_B003776 Epithelial 2 tumor
O16_B003775 Epithelial 2 tumor
O16_B003776 Epithelial 2 tumor
O17_B003776 Epithelial 2 tumor
O18_B003776 Epithelial 2 tumor
O18_B003777 Epithelial 2 tumor
O19_B003776 Epithelial 2 tumor
O21_B003776 Epithelial 2 tumor
O22_B003776 Epithelial 2 tumor
O22_B003777 Epithelial 2 tumor
O6_B001470 Epithelial 2 tumor
O7_B001470 Epithelial 2 tumor
P10_B001470 Epithelial 2 tumor
P10_B001474 Epithelial 2 tumor
P12_B003775 Epithelial 2 tumor
P12_B003776 Epithelial 2 tumor
P12_B003777 Epithelial 2 tumor
P13_B003776 Epithelial 2 tumor
P14_B003775 Epithelial 2 tumor
P14_B003776 Epithelial 2 tumor
P15_B003776 Epithelial 2 tumor
P16_B003776 Epithelial 2 tumor
P16_B003777 Epithelial 2 tumor
P17_B003776 Epithelial 2 tumor
P20_B003776 Epithelial 2 tumor
P21_B003776 Epithelial 2 tumor
P22_B003776 Epithelial 2 tumor
A13_B003894 Epithelial 4 tumor
C1_B003115 Epithelial 4 tumor
D1_B000280 Epithelial 4 tumor
E9_B003528 Epithelial 15 nontumor
F4_1001000302 Epithelial 4 tumor
I10_B003577 Epithelial 14 tumor
I5_B003125 Epithelial 4 tumor
K5_B000429 Epithelial 4 tumor
K5_B003995 Epithelial 4 tumor
L19_B000422 Epithelial 3 nontumor
P16_B002077 Epithelial 9 nontumor
A10_B001470 Epithelial 3 nontumor
A10_B003528 Epithelial 3 nontumor
A11_B001558 Epithelial 3 nontumor
A11_B003577 Epithelial 3 nontumor
A14_B003129 Epithelial 9 nontumor
A14_B003132 Epithelial 9 nontumor
A15_B002074 Epithelial 3 nontumor
A15_B003125 Epithelial 9 nontumor
A15_B003187 Epithelial 9 nontumor
A16_B003187 Epithelial 9 nontumor
A16_B003995 Epithelial 3 tumor
A19_B002074 Epithelial 9 nontumor
A1_B001558 Epithelial 3 nontumor
A20_B002073 Epithelial 9 nontumor
A3_B001554 Epithelial 9 nontumor
A3_B001558 Epithelial 3 nontumor
A4_B001558 Epithelial 9 nontumor
A4_B003132 Epithelial 3 nontumor
A4_B003187 Epithelial 3 nontumor
A5_B001554 Epithelial 3 nontumor
A5_B003129 Epithelial 9 nontumor
A6_B003132 Epithelial 3 nontumor
A7_B003126 Epithelial 3 nontumor
A7_B003187 Epithelial 9 nontumor
A7_B003191 Epithelial 3 nontumor
A7_B003528 Epithelial 3 nontumor
A8_B003187 Epithelial 9 nontumor
B10_B001554 Epithelial 3 nontumor
B10_B003995 Epithelial 9 nontumor
B11_B001554 Epithelial 3 nontumor
B15_B002073 Epithelial 3 nontumor
B16_B000420 Epithelial 9 nontumor
B16_B003187 Epithelial 9 nontumor
B16_B003191 Epithelial 9 nontumor
B1_B003129 Epithelial 9 nontumor
B22_B002074 Epithelial 29 nontumor
B2_B003132 Epithelial 3 nontumor
B3_B003187 Epithelial 9 nontumor
B3_B003191 Epithelial 3 nontumor
B4_B003187 Epithelial 3 nontumor
B4_B003191 Epithelial 3 nontumor
B5_B001558 Epithelial 9 nontumor
B5_B003129 Epithelial 3 nontumor
B5_B003187 Epithelial 9 nontumor
B6_B003126 Epithelial 3 nontumor
B7_B003125 Epithelial 9 nontumor
B7_B003126 Epithelial 9 nontumor
B8_B003187 Epithelial 9 nontumor
B8_B003191 Epithelial 3 nontumor
C11_B003129 Epithelial 9 nontumor
C12_B003129 Epithelial 9 nontumor
C13_B003129 Epithelial 9 nontumor
C15_B002078 Epithelial 9 nontumor
C15_B003129 Epithelial 3 nontumor
C16_B003920 Epithelial 3 nontumor
C17_B003129 Epithelial 9 nontumor
C18_B003129 Epithelial 3 nontumor
C19_B002097 Epithelial 9 nontumor
C19_B003129 Epithelial 9 nontumor
C1_B001558 Epithelial 3 nontumor
C20_B002073 Epithelial 3 nontumor
C20_B003129 Epithelial 9 nontumor
C21_B003129 Epithelial 9 nontumor
C21_B003995 Epithelial 3 nontumor
C22_B003129 Epithelial 9 nontumor
C2_B003129 Epithelial 3 nontumor
C2_B003191 Epithelial 3 nontumor
C4_B001554 Epithelial 9 nontumor
C4_B003126 Epithelial 9 nontumor
C5_B003132 Epithelial 3 nontumor
C5_B003191 Epithelial 3 nontumor
C6_B003129 Epithelial 9 nontumor
C6_B003132 Epithelial 3 nontumor
C7_B001558 Epithelial 9 nontumor
C7_B003125 Epithelial 9 nontumor
C7_B003129 Epithelial 9 nontumor
C7_B003191 Epithelial 9 nontumor
C7_B003528 Epithelial 3 nontumor
C8_B003129 Epithelial 9 nontumor
C8_B003528 Epithelial 3 nontumor
C9_B003523 Epithelial 3 nontumor
D10_B001554 Epithelial 9 nontumor
D14_B002074 Epithelial 3 nontumor
D15_B002074 Epithelial 3 nontumor
D15_B002097 Epithelial 3 nontumor
D15_B003126 Epithelial 3 nontumor
D18_B000420 Epithelial 9 nontumor
D1_B001558 Epithelial 3 nontumor
D20_B002077 Epithelial 3 nontumor
D20_B003995 Epithelial 20 tumor
D21_B003894 Epithelial 9 nontumor
D21_B003995 Epithelial 3 nontumor
D22_B002074 Epithelial 9 nontumor
D22_B002079 Epithelial 3 nontumor
D22_B003654 Epithelial 9 nontumor
D2_B003129 Epithelial 3 nontumor
D3_B000280 Epithelial 4 tumor
D3_B003129 Epithelial 3 nontumor
D3_B003187 Epithelial 3 nontumor
D5_B003129 Epithelial 3 nontumor
D6_B001558 Epithelial 3 nontumor
D6_B003187 Epithelial 3 nontumor
D7_B001475 Epithelial 3 nontumor
D7_B003125 Epithelial 9 nontumor
D9_B001554 Epithelial 3 nontumor
D9_B001558 Epithelial 3 nontumor
D9_B003523 Epithelial 3 nontumor
E10_B003528 Epithelial 3 nontumor
E10_B003577 Epithelial 3 nontumor
E11_B001554 Epithelial 3 nontumor
E12_B003920 Epithelial 3 nontumor
E14_B003995 Epithelial 3 nontumor
E16_B003129 Epithelial 3 nontumor
E18_B000422 Epithelial 3 nontumor
E1_B003126 Epithelial 9 nontumor
E1_B003995 Epithelial 9 nontumor
E20_B002074 Epithelial 9 nontumor
E2_B003132 Epithelial 3 nontumor
E2_B003187 Epithelial 9 nontumor
E3_B001558 Epithelial 9 nontumor
E5_B003126 Epithelial 3 nontumor
E6_B001558 Epithelial 3 nontumor
E6_B003191 Epithelial 3 nontumor
E7_B003132 Epithelial 3 nontumor
E8_B003125 Epithelial 9 nontumor
E8_B003132 Epithelial 9 nontumor
E9_B003523 Epithelial 3 nontumor
F12_B003771 Epithelial 3 nontumor
F14_B003129 Epithelial 3 nontumor
F14_B003187 Epithelial 9 nontumor
F14_B003191 Epithelial 3 nontumor
F14_B003771 Epithelial 20 tumor
F15_B003125 Epithelial 3 nontumor
F15_B003132 Epithelial 3 nontumor
F16_B002073 Epithelial 3 nontumor
F16_B002079 Epithelial 20 nontumor
F17_B002077 Epithelial 3 nontumor
F17_B003995 Epithelial 3 nontumor
F20_B002074 Epithelial 9 nontumor
F21_B002073 Epithelial 3 nontumor
F22_B003191 Epithelial 9 nontumor
F2_B003126 Epithelial 9 nontumor
F2_B003129 Epithelial 9 nontumor
F3_B003187 Epithelial 3 nontumor
F3_B003191 Epithelial 3 nontumor
F4_B003129 Epithelial 3 nontumor
F4_B003187 Epithelial 3 nontumor
F5_B003187 Epithelial 3 nontumor
F6_B001554 Epithelial 3 tumor
F6_B003191 Epithelial 3 nontumor
F7_B003125 Epithelial 9 nontumor
F7_B003191 Epithelial 3 nontumor
F7_B003995 Epithelial 9 nontumor
F9_B001554 Epithelial 3 nontumor
G10_B001558 Epithelial 3 nontumor
G10_B003523 Epithelial 3 nontumor
G11_B001558 Epithelial 9 nontumor
G14_B003125 Epithelial 9 nontumor
G14_B003126 Epithelial 9 nontumor
G14_B003129 Epithelial 3 nontumor
G14_B003132 Epithelial 3 nontumor
G15_B003125 Epithelial 3 nontumor
G16_B002073 Epithelial 3 nontumor
G16_B003132 Epithelial 3 nontumor
G18_B002073 Epithelial 3 nontumor
G1_B001558 Epithelial 9 nontumor
G20_B000420 Epithelial 9 nontumor
G22_B002073 Epithelial 3 nontumor
G22_B003920 Epithelial 3 nontumor
G3_B003129 Epithelial 9 nontumor
G3_B003132 Epithelial 9 nontumor
G4_B003187 Epithelial 3 nontumor
G4_B003995 Epithelial 9 nontumor
G6_B003126 Epithelial 3 nontumor
G6_B003191 Epithelial 3 nontumor
G7_B003125 Epithelial 9 nontumor
G7_B003129 Epithelial 3 nontumor
G7_B003132 Epithelial 3 nontumor
G7_B003187 Epithelial 9 nontumor
G8_B001554 Epithelial 3 nontumor
G9_B001554 Epithelial 3 nontumor
H11_B001554 Epithelial 3 nontumor
H13_B002079 Epithelial 3 nontumor
H14_B003132 Epithelial 9 nontumor
H14_B003771 Epithelial 3 nontumor
H15_B000422 Epithelial 3 nontumor
H15_B002073 Epithelial 3 nontumor
H15_B003129 Epithelial 9 nontumor
H15_B003191 Epithelial 9 nontumor
H18_B002074 Epithelial 3 nontumor
H1_B003187 Epithelial 9 nontumor
H21_B002074 Epithelial 9 nontumor
H21_B003654 Epithelial 9 nontumor
H2_B003071 Epithelial 9 nontumor
H2_B003126 Epithelial 3 nontumor
H2_B003129 Epithelial 9 nontumor
H2_B003132 Epithelial 3 nontumor
H3_B003129 Epithelial 9 nontumor
H4_B003125 Epithelial 9 nontumor
H4_B003191 Epithelial 3 nontumor
H6_B001554 Epithelial 3 nontumor
H6_B003132 Epithelial 3 nontumor
H6_B003187 Epithelial 3 nontumor
H7_B001554 Epithelial 3 nontumor
H7_B001558 Epithelial 9 nontumor
H7_B003125 Epithelial 9 nontumor
H7_B003577 Epithelial 3 nontumor
H8_B001474 Epithelial 3 nontumor
H8_B003126 Epithelial 3 nontumor
H8_B003129 Epithelial 3 nontumor
H8_B003187 Epithelial 3 nontumor
I10_B002074 Epithelial 3 nontumor
I10_B003995 Epithelial 3 nontumor
I13_B002074 Epithelial 3 nontumor
I13_B003894 Epithelial 20 tumor
I14_B002079 Epithelial 3 nontumor
I14_B003187 Epithelial 9 nontumor
I15_B002074 Epithelial 3 nontumor
I15_B002097 Epithelial 3 nontumor
I16_B002097 Epithelial 3 nontumor
I19_B002079 Epithelial 9 nontumor
I1_B003132 Epithelial 9 nontumor
I21_B000422 Epithelial 3 nontumor
I21_B002097 Epithelial 9 nontumor
I21_B003894 Epithelial 3 nontumor
I2_B003187 Epithelial 9 nontumor
I3_B003995 Epithelial 9 nontumor
I4_B001558 Epithelial 3 nontumor
I5_B003129 Epithelial 3 nontumor
I5_B003191 Epithelial 3 nontumor
I6_B003187 Epithelial 3 nontumor
I6_B003191 Epithelial 3 nontumor
I7_B003125 Epithelial 9 nontumor
I8_B001558 Epithelial 3 nontumor
I8_B003132 Epithelial 3 nontumor
I8_B003191 Epithelial 3 nontumor
I9_B001558 Epithelial 3 nontumor
J11_1001000367 Epithelial 4 tumor
J11_B001475 Epithelial 3 nontumor
J12_B003920 Epithelial 3 nontumor
J13_B003995 Epithelial 3 nontumor
J14_B003187 Epithelial 3 nontumor
J15_B002078 Epithelial 3 nontumor
J15_B002097 Epithelial 3 nontumor
J15_B003126 Epithelial 3 nontumor
J15_B003129 Epithelial 3 nontumor
J15_B003191 Epithelial 9 nontumor
J15_B003894 Epithelial 3 nontumor
J16_B002097 Epithelial 3 nontumor
J18_B002074 Epithelial 3 nontumor
J19_B002073 Epithelial 3 nontumor
J1_B003126 Epithelial 3 nontumor
J1_B003191 Epithelial 3 nontumor
J3_B003191 Epithelial 3 nontumor
J3_B003995 Epithelial 9 nontumor
J4_B003126 Epithelial 3 nontumor
J4_B003129 Epithelial 9 nontumor
J5_B001558 Epithelial 3 nontumor
J5_B003129 Epithelial 3 nontumor
J5_B003187 Epithelial 3 nontumor
J6_B001554 Epithelial 9 nontumor
J6_B001558 Epithelial 3 nontumor
J7_B001474 Epithelial 3 nontumor
J7_B003132 Epithelial 3 nontumor
K11_B003523 Epithelial 3 nontumor
K14_B002073 Epithelial 3 nontumor
K15_B003187 Epithelial 9 nontumor
K16_B003125 Epithelial 9 nontumor
K16_B003132 Epithelial 9 nontumor
K16_B003771 Epithelial 3 nontumor
K18_B002097 Epithelial 3 nontumor
K18_B003894 Epithelial 3 nontumor
K19_B000420 Epithelial 9 nontumor
K1_B003187 Epithelial 9 nontumor
K1_B003191 Epithelial 3 nontumor
K1_B003995 Epithelial 9 nontumor
K21_B003995 Epithelial 3 nontumor
K22_B002078 Epithelial 3 nontumor
K22_B002097 Epithelial 3 nontumor
K2_B000261 Epithelial 4 tumor
K2_B003126 Epithelial 9 nontumor
K2_B003187 Epithelial 9 nontumor
K3_B003126 Epithelial 9 nontumor
K3_B003187 Epithelial 9 nontumor
K3_B003191 Epithelial 3 nontumor
K4_B000261 Epithelial 4 tumor
