"","cnv_score"
"O14_B002073",823
"P19_B002097",431
"C16_B003995",555
"E20_B000420",565
"C22_B003656",654
"C5_B002558",662
"I15_B003191",704
"O22_B003191",686
"D22_B002074",593
"F5_B000279",448
"G20_B003093",487
"D7_B001545",744
"E10_B003113",626
"J6_B001464",577
"P21_B000563",557
"D6_B003125",590
"G5_B001558",604
"H12_B003103",569
"P1_B003126",699
"B5_B003995",615
"B6_B003187",545
"F18_B002074",471
"J21_B002097",661
"J4_B003995",830
"M4_B003125",564
"I14_B003920",420
"J19_B000420",531
"A16_B003126",564
"H12_B003179",696
"B2_B003648",572
"G4_B003113",391
"O5_B003125",432
"P4_B003115",319
"D1_1001000327",512
"E4_B000861",365
"M19_B000420",543
"P5_B003125",436
"H6_B002558",414
"N17_B003775",468
"N19_B003646",505
"D4_B003126",817
"K20_B002078",792
"C18_B002097",744
"E20_B003995",588
"L9_B001545",847
"H14_B002073",648
"O8_B000563",728
"N1_B001558",768
"P6_B001558",870
"D6_B002570",704
"I18_B003771",718
"O22_B000422",702
"N2_B001558",489
"K10_B002558",544
"C15_B003588",933
"E22_B003132",848
"C7_B003125",931
"O21_B002079",937
"H11_B001546",927
"H1_B000860",1012
"K6_B000862",1110
"G16_B003771",573
"K19_B002074",699
"C9_B000860",541
"K6_B000863",631
"B3_B003132",710
"H2_B002090",676
"D8_B001007",560
"B3_B002090",519
"M20_B003995",430
"P2_B003656",512
"M3_B001558",581
"P9_B003656",439
"P18_B003656",639
"P22_B003656",807
"H14_B003522",937
"D16_B003529",898
"A1_B000883",903
"N1_B003995",914
"O16_B001007",397
"O20_B001007",177
"O17_B001007",288
"A15_B000420",255
"D15_B001007",123
"F21_B001464",506
"I21_B003529",430
"G6_B001558",410
"H9_B001558",300
"D19_B003775",372
"D1_B003995",335
"I22_B003126",420
"E15_B002073",409
"L8_B003126",434
"D17_B001007",117
"F8_B003125",275
"D13_B001007",358
"H2_B002570",302
"C16_B003105",670
"I21_B003930",483
"A15_B003930",561
"E14_B003105",465
"G19_B003930",323
"K20_B003105",403
"M22_B003771",281
"I4_B002570",520
"I1_B003115",440
"M3_B002571",367
"B15_B003103",349
"G22_B003776",359
"A9_B003187",412
"G17_B003105",505
"D10_B003115",558
"P12_B003656",470
"P17_B003656",585
"N12_B000862",694
"P14_B003656",774
"E7_B003658",499
"F17_B000569",398
"L16_B003103",602
"A17_B002073",520
"O9_B001558",602
"L5_B001558",540
"P2_B002570",437
"F15_B002097",688
"C2_B002558",509
"E14_B002073",397
"D11_B002558",350
"A9_B001545",857
"D9_B001545",779
"I7_B003079",670
"L15_B000422",603
"P7_B000563",747
"N9_B003995",631
"L3_B003648",512
"C16_B003191",499
"F22_B002073",591
"J1_B001558",787
"C19_B003771",854
"E6_B001543",787
"D10_B001556",973
"I6_B001558",659
"K10_B002570",656
"E2_B001464",721
"O9_B001007",661
"I11_B003523",872
"B6_B001548",882
"P7_B003656",716
"L14_B003588",770
"D9_B001007",685
"I4_B001464",724
"O22_B000563",571
"L6_B003126",913
"N3_B003116",919
"H7_B001460",818
"N7_B003643",706
"C7_B001548",1459
"I16_B003522",1675
"C21_B002079",1294
"M15_B003112",1495
"E21_B002079",1358
"F6_B001548",1014
"I1_B001543",1055
"D22_B003132",947
"L14_B003120",1010
"N17_B002073",764
"F12_B003588",705
"N4_B002570",658
"A2_1001000412",811
"G6_B003115",707
"G5_B001545",780
"C10_B001558",431
"A4_B000861",509
"H4_B002558",526
"G5_B003132",445
"N3_B003658",554
"N9_B001554",953
"F4_B000561",890
"P18_B002073",785
"C17_B000563",737
"C21_B003654",907
"C2_B000561",958
"H16_B000563",866
"O1_B002571",1117
"H19_B003529",964
"L11_B003529",1085
"E15_B000563",1875
"L8_B001551",1279
"D20_B000563",1704
"A4_B003995",1703
"G2_B003129",1233
"H19_B002079",1348
"G17_B002078",1205
"K6_B001464",1091
"N9_B003643",806
"D13_B000420",692
"J19_B003643",446
"L19_B003126",653
"B4_B002090",728
"N12_B003643",1012
"O10_B003187",800
"O12_B003187",737
"N11_B003643",965
"N13_B003119",751
"N3_B003643",789
"O12_B003528",1305
"I2_B002090",1215
"K1_B002090",1016
"N2_B002090",704
"M12_B003116",1160
"F7_B003995",836
"N14_B003643",998
"E1_B002090",1217
"M3_B002090",555
"P4_B002090",726
"G1_B002090",651
"J2_B002090",557
"F4_B002090",797
"J4_B002090",790
"P3_B002090",948
"K2_B002090",741
"O3_B002090",674
"B13_B003588",1093
"H7_B003125",1063
"A19_B003112",1103
"G22_B003126",682
"E5_B003654",1004
"F5_B000894",925
"B15_B003775",858
"A22_B003775",713
"F21_B003775",705
"M15_B003775",688
"N22_B003775",705
"E21_B003067",1050
"M17_B003776",740
"P15_B003777",699
"B18_B003775",624
"I18_B003775",926
"K7_B003995",802
"L13_B003588",793
"C15_B002074",630
"H17_B003119",584
"N8_B003643",642
"E4_B002090",540
"N6_B003643",599
"E1_B003654",1017
"E7_B003654",898
"N15_B003132",1559
"P10_B003191",1479
"M9_B003995",491
"G4_B003995",910
"I3_B003995",629
"M1_B002090",658
"P13_B003656",605
"D3_B002090",466
"P10_B003656",482
"P6_B001470",671
"L3_B003115",334
"E17_B003995",347
"P11_B003995",287
"D1_B003115",405
"D17_B000420",467
"O22_B003126",348
"C16_B000563",617
"O5_B003115",492
"B16_B003132",539
"K7_B003125",410
"F19_B003643",648
"N15_B002097",721
"C3_B003115",570
"K20_B003120",585
"E3_B002570",707
"N4_B003643",686
"A8_B000579",628
"J14_B002073",344
"K15_B003191",329
"H10_B003071",770
"I1_B002090",634
"B15_B003120",1035
"E6_B003654",1076
"P19_B003656",796
"A10_B003187",719
"L10_B003116",875
"G6_B002572",1127
"J15_B002074",837
"E6_B002558",919
"O11_B001007",1016
"B22_B003187",905
"L12_B002571",651
"M15_B002073",933
"G15_B003187",979
"O2_B001558",1201
"B21_B002073",1229
"L22_B003191",1083
"B2_B000901",1140
"H7_B003113",731
"L1_B001559",968
"D14_B003071",1373
"E15_B002074",1105
"I13_B003656",3964
"I15_B003656",3275
"I2_B003656",3352
"I17_B003656",3127
"I12_B003656",3091
"I3_B003656",3187
"I7_B003656",1513
"J22_B003656",1450
"I9_B003656",1317
"J1_B003656",1305
"J19_B003656",801
"J13_B003656",828
"J5_B003656",832
"J18_B003656",974
"J21_B003656",744
"J3_B003656",760
"J11_B003656",961
"J6_B003656",628
"J8_B003656",907
"J2_B003656",1303
"J16_B003656",1121
"J12_B003656",1411
"J14_B003656",1004
"J15_B003656",1127
"I5_B003656",1431
"J17_B003656",1163
"J20_B003656",1050
"I22_B003656",2670
"I10_B003656",1676
"I18_B003656",2185
"I1_B003656",1615
"I19_B003656",2124
"I8_B003656",1647
"I20_B003656",1906
"I6_B003656",1742
"I16_B003656",1865
"I4_B003656",2138
"E17_B000422",1633
"M13_B001554",1490
"D17_B002074",1649
"B18_B002074",1293
"B20_B002097",1413
"C9_B002573",1253
"H8_B001558",1140
"K21_B002097",1309
"C1_B003191",1402
"B17_B002077",1153
"P22_B002097",1313
"N16_B003070",1299
"P1_B001543",1373
"F14_B002074",1422
"K16_B003120",1093
"A20_B003894",964
"G5_B003125",1176
"F3_B001558",1773
"I1_B003126",1684
"I6_B003126",1406
"K1_B001558",1157
"E13_B002077",1437
"O14_B003129",1106
"P14_B003132",1382
"B19_B002073",1373
"C18_B001460",1739
"M11_B003191",1496
"P6_B003103",1495
"M20_B003191",1611
"M17_B003191",1047
"M18_B003191",1227
"M9_B003191",938
"O7_B003894",1912
"F11_B003187",1832
"F20_B003187",1534
"A19_B003522",2141
"C21_B003129",1516
"O16_B003187",1310
"O17_B003528",1313
"M12_B003191",1232
"M21_B003191",1145
"O22_B000561",1263
"H13_B000860",1223
"O13_B003528",1119
"D10_B001470",1356
"D19_B001470",1657
"D17_B001470",1674
"G21_B003112",1438
"H21_B000420",1512
"B22_B002077",1332
"P9_B001470",1429
"J21_B003646",1283
"C15_B003120",1580
"F5_B003113",1219
"O22_B003528",1223
"J20_B003588",2061
"I9_B003588",1944
"J17_B003588",1547
"G20_B003654",1658
"J22_B003588",1589
"I19_B002079",1634
"P17_B003191",1442
"F12_B003191",1474
"P22_B002079",1484
"O20_B001558",964
"J21_B000863",928
"L3_B002090",970
"F10_B003191",1293
"F9_B003191",1162
"G17_B003588",2088
"J4_B003129",1790
"L17_B003129",1541
"F12_B003187",1540
"F17_B003187",1935
"O16_B003528",1681
"M6_B001558",1613
"O20_B003528",1569
"N8_B002073",1711
"A4_B003067",1406
"D5_B003187",1265
"K13_B001008",1047
"P10_B002531",1313
"B19_B003777",1282
"C17_B003105",1309
"M20_B003771",1112
"C8_B003129",1097
"I8_B003125",887
"L8_B003191",966
"A15_B003183",1189
"H21_B000860",1005
"M11_B002074",1116
"A9_B002558",1821
"C12_B003129",1349
"C20_B003129",1515
"K5_B001554",1439
"A19_B003187",1290
"N6_B003132",1190
"A8_B002572",1444
"P13_B003183",1155
"K18_B002097",1026
"N3_B003191",1075
"F11_B003067",919
"O19_B000561",740
"F18_B003643",680
"O19_B000420",781
"O13_B000561",764
"P5_B001559",1093
"B16_B003920",1131
"N5_B001548",1248
"M16_B003097",1138
"L21_B003120",1112
"B5_B001558",900
"K22_B003187",994
"H3_B001545",1429
"I11_B003097",1338
"A16_B003771",1298
"D1_B001543",1494
"F21_B002078",1876
"D2_B002073",1379
"E19_B002073",1632
"K21_B002079",1552
"A21_B000563",1436
"G6_B001545",1598
"L20_B002077",1603
"I17_B000563",1384
"K6_B003191",1018
"F22_B000563",781
"A16_B003187",1026
"E6_B003129",827
"P5_B003126",819
"G17_B003894",618
"H20_B000860",654
"I22_B003646",506
"A2_B001470",1041
"E1_B003995",1047
"E18_B003771",683
"I22_B003191",988
"A10_B002570",1303
"D21_B002097",1128
"G1_B003132",1036
"P2_B001558",773
"I11_B000561",647
"C9_B001548",1059
"I22_B002097",1230
"K13_B003920",1081
"A22_B003129",908
"K2_B001464",887
"B22_B003132",973
"F11_B001544",939
"M6_B001557",910
"K9_B003522",816
"P3_B001558",638
"B20_B002074",520
"D22_B003126",568
"H20_B002078",795
"O7_B001545",766
"C20_B002097",579
"G8_B001558",670
"J9_B001557",720
"P21_B003920",760
"M14_B000563",725
"P10_B001558",510
"J14_B000563",511
"J20_B002079",369
"D16_B003522",425
"J4_B000569",426
"B20_B000422",939
"F21_B002077",1173
"A6_B001475",1065
"P19_B002074",1045
"F7_B003115",846
"K10_B003113",697
"M1_B003117",793
"C12_B003771",883
"G19_B002077",820
"M7_B001545",1100
"L20_B000569",718
"L1_B003187",846
"E16_B003132",541
"P9_B001475",481
"N9_B001548",1349
"O20_B002097",816
"O21_B003771",852
"I2_B003132",831
"L22_B002077",909
"F9_1001000301",751
"I15_B003894",822
"G18_B002077",1075
"H1_B003121",996
"P20_B001016",974
"G9_B003115",1141
"H3_B003115",1011
"I22_B003920",1011
"J2_B003126",934
"I4_B003125",1012
"J16_B003588",1015
"M18_B002097",1258
"P12_B003894",1369
"O7_B001543",1078
"A16_B000563",834
"G15_B003126",1161
"F6_B003115",823
"H16_B000860",966
"N4_B003187",817
"P5_B000422",1292
"B15_B003125",1062
"L21_B000563",924
"A1_B003642",1361
"H14_B003187",1253
"H3_B003113",1036
"D18_B003654",864
"D8_B003113",835
"K22_B003646",1142
"A22_B003646",1070
"M22_B003646",1006
"M17_B003522",1443
"D7_B001554",1296
"N19_B003529",1117
"P6_B001556",1684
"I13_B003129",1345
"G11_B001554",1202
"P11_B001554",968
"P4_B001551",978
"I16_B003125",1372
"D16_B003179",974
"D20_B002073",1180
"F3_B003126",1057
"E8_B003126",938
"H1_B001558",1042
"A4_B001554",1081
"E7_B001554",1083
"G8_B003129",1183
"L21_B002073",1154
"L16_B003191",1362
"N9_B003523",965
"P9_B001558",976
"I2_B001558",1514
"F5_B000561",1258
"B20_B002078",1077
"D15_B002077",1219
"I4_B003191",1204
"L3_B001464",1311
"I7_B000561",1164
"E19_B002078",1348
"L21_B003771",1268
"D19_B003654",1134
"H3_B001558",979
"I19_B000422",935
"K20_B003771",1670
"O22_B002079",1455
"C2_1001000301",1354
"J15_B000420",1144
"C17_B001010",1349
"D16_B003920",1261
"D13_B003179",1507
"D4_B001556",1354
"D14_B003183",1305
"J13_B002078",1523
"C11_B003070",1364
"H1_B001556",1725
"A5_B003067",1942
"A9_B000568",1819
"E13_B003995",1972
"L5_B001544",1807
"F7_B003070",1979
"J11_B003119",1811
"I14_B002570",1215
"I21_B002570",971
"I19_B002570",905
"I17_B002570",855
"I15_B002570",689
"I16_B002570",798
"O14_B003529",1358
"I20_B002570",1747
"A22_B001008",1232
"A17_B002079",1263
"P17_B003103",1269
"C21_B000422",1436
"L7_B001558",1027
"O18_B001554",1043
"J10_B002573",1092
"M6_B001559",1155
"E9_B003067",955
"O19_B003528",1115
"F22_B003522",1066
"E1_B003126",706
"A9_B000563",843
"C10_B003115",823
"J15_B003771",779
"F1_B000860",1039
"O19_B003183",1049
"K5_B003070",1399
"G8_B003071",1185
"N3_B003659",1432
"O12_B003179",1334
"A18_B000563",1072
"E9_B001546",976
"J15_B003920",1368
"L19_B000422",1326
"E22_B003529",1270
"N19_B003995",1307
"J16_B003179",1404
"J9_B002531",1348
"F22_B001016",1175
"E15_B003183",1204
"H4_B003132",1639
"A4_B003071",1348
"F13_B002572",1205
"O22_B003112",4619
"F22_B003112",5442
"J12_B003116",4546
"O13_B003112",4651
"G22_B003116",3665
"H19_B003116",4242
"A20_B003116",3922
"L14_B003112",3675
"C17_B003112",3926
"H18_B003116",4387
"D12_B003116",3861
"M22_B003116",4055
"C7_B003119",3761
"G7_B003119",3558
"B13_B003112",3929
"I15_B003112",3904
"N18_B003112",4059
"F19_B003093",4293
"F6_B001554",4654
"L5_B001554",2606
"M5_B001554",2118
"A5_B001554",3306
"C4_B001554",3337
"L4_B003187",2922
"P17_B003920",2989
"P7_B003187",2558
"H6_B003187",3612
"M21_B003894",3854
"D7_B001475",4086
"B9_B003523",3380
"D11_1001000317",3301
"E5_B001554",6216
"D5_B001554",3670
"I6_B001554",4497
"B6_B001554",3953
"P4_B001554",4339
"C18_B003656",2812
"C19_B003656",3068
"C16_B003656",2436
"C17_B003656",1886
"K19_B003125",3526
"K20_B003125",3646
"O16_B003125",3686
"O18_B003125",3478
"J22_B003116",3134
"M21_B003120",2861
"O21_B003120",2434
"L20_B003120",1939
"A16_B003112",2002
"M16_B003120",2185
"A17_B003116",2779
"L15_B003120",2185
"O8_B003187",2197
"G22_B003112",2339
"D21_B003120",2309
"O19_B003112",2437
"I19_B003577",2568
"O8_B001548",3156
"B7_B003523",2975
"P11_B001543",3116
"L16_B003112",4604
"H14_B003112",3486
"M20_B003112",3438
"K17_B000422",2990
"H17_B003112",3387
"O20_B003894",3188
"I4_B003129",3410
"I8_B003119",3281
"L5_B003112",3111
"F20_B003112",2799
"O19_B003116",2736
"D5_B003129",2223
"G22_B003120",2560
"F13_B003112",2326
"F19_B000420",2545
"J15_B003776",2750
"B12_B003116",2831
"P14_B003116",2431
"C15_B003112",3776
"F5_B001548",3040
"G19_B003116",3943
"I13_B003112",3453
"K22_B003112",3324
"H12_B003116",3274
"M18_B003116",3503
"M14_B003112",2945
"I6_B003187",3037
"P5_B003191",2373
"C9_B001470",3436
"M13_B000422",3722
"D20_B001470",3239
"L21_B003116",3378
"P7_B000419",1857
"P16_B000419",1356
"P6_B000419",1547
"P10_B000419",1205
"P17_B000419",1756
"P5_B000419",1636
"P20_B000419",1558
"P8_B000419",1442
"P14_B000419",1404
"P19_B000419",1237
"F16_B002073",1863
"P11_B000419",1479
"P18_B000419",1333
"P22_B000419",1258
"P15_B000419",1340
"P4_B000419",1382
"P12_B000419",1544
"P9_B000419",1188
"P3_B000419",1445
"P13_B000419",1316
"P21_B000419",1458
"J8_B003126",2113
"A14_B003132",1478
"M5_B003132",1503
"B16_B003125",1647
"P14_B002097",1626
"A5_B003129",1984
"A15_B002074",1593
"N3_B003126",1444
"O10_B001554",1716
"N8_B003129",1695
"A13_B003120",1435
"O15_B003132",1618
"O11_B001554",2130
"K22_B002078",1683
"C15_B002078",1348
"A14_B003129",1211
"O8_B003132",1364
"J15_B003129",1356
"O3_B003132",1269
"G1_B001558",1544
"P1_B000568",1487
"E11_B001554",1539
"M10_B001554",1869
"P2_B001464",2087
"A19_B002074",1685
"H2_B003132",1437
"M16_B003126",1500
"L3_B003129",2256
"I1_B003132",1731
"L7_B001554",1682
"N14_B002073",1543
"J11_B001475",2165
"N8_B003132",2072
"F15_B003132",2075
"C7_B003191",1509
"N15_B003125",1501
"J15_B003126",2077
"I8_B001558",2136
"A4_B001558",2262
"H15_B002073",1756
"I15_B002074",2317
"D15_B002074",1933
"A3_B001558",1933
"G7_B003132",1706
"E8_B003132",1415
"P21_B002073",1406
"B5_B003187",1698
"K15_B003187",1897
"A4_B003187",1926
"B6_B003126",1704
"P14_B003125",1483
"C6_B003132",1883
"P18_B003995",1753
"L3_B003187",1640
"O2_B003129",1439
"N21_B002073",1685
"K17_B000563",1586
"A7_B003191",2404
"G6_B003126",2204
"G16_B003132",2439
"I15_B002097",1996
"K3_B003191",2154
"M3_B003126",2302
"O6_B003132",2024
"J5_B003129",2146
"N7_B003129",2018
"L6_B003132",1957
"C20_B002073",1605
"L7_B003132",1622
"K7_B003126",2109
"D22_B003654",1794
"P16_B003129",1459
"F3_B003191",2020
"L16_B003132",2035
"L14_B003187",1731
"P5_B003187",1341
"P6_B003187",1485
"A7_B003187",2010
"C8_B003528",1616
"F3_B003187",1874
"O21_B003105",1730
"O2_B003132",1744
"B7_B003132",1640
"C5_B003132",1904
"I9_B001558",2260
"D3_B003187",2401
"F4_B003129",1839
"L21_B002074",1917
"B11_B001554",1691
"H8_B003126",1655
"E18_B000422",1666
"H8_B003187",2098
"C21_B003995",2214
"L18_B002077",1545
"O18_B003116",1636
"O6_B003191",2216
"K2_B003126",1444
"M3_B003187",1451
"G14_B003126",1450
"M14_B003187",1061
"M2_B003125",1232
"E8_B003125",1769
"A15_B003187",1333
"G11_B001558",1593
"I6_B003191",1684
"J1_B003126",1771
"B15_B002073",1603
"I14_B003120",1550
"J18_B002074",1683
"A20_B002073",1584
"P8_B003995",1670
"A4_B003132",2050
"N17_B002097",1700
"K1_B003187",2213
"H15_B003191",2231
"O11_B001558",1664
"N6_B003129",1848
"P1_B003187",1848
"I2_B003187",1415
"K3_B003187",1471
"G14_B003129",1321
"J14_B003187",1516
"H21_B003112",1933
"I21_B002097",1631
"O6_B001554",1972
"G7_B003187",1388
"L6_B003187",1657
"P7_B003125",1351
"B8_B003191",2234
"O3_B003187",2297
"C19_B003129",2602
"C17_B003129",2224
"E13_B003894",1864
"C18_B003129",2410
"N8_B003191",2430
"C11_B003129",1861
"C22_B003129",1468
"H1_B003187",1969
"K2_B003187",2130
"B5_B003129",1986
"L19_B003129",1979
"L21_B003129",1722
"E6_B003191",1994
"L14_B003132",1947
"L1_B003191",1764
"B8_B003187",2087
"G3_B003129",1824
"B4_B003187",2694
"F14_B003191",2616
"N8_B003528",2782
"O15_B003191",2511
"F14_B003129",1788
"M16_B003187",1759
"J15_B003191",2289
"P14_B003191",1779
"F6_B003191",2549
"J5_B003187",2715
"O8_B003191",2498
"C15_B003129",2348
"C2_B003191",2116
"N7_B003191",1867
"M4_B003126",2101
"E14_B003995",2115
"E7_B003132",1930
"I5_B003129",1806
"K9_B001558",2059
"H4_B003191",1941
"C5_B003191",2024
"M3_B003191",1491
"G4_B003187",1943
"L22_B003995",2211
"F5_B003187",2222
"F7_B003191",2514
"M3_B003132",2490
"J4_B000561",2292
"F14_B003187",1620
"G9_B003119",1438
"J5_B001558",1597
"A6_B003132",1879
"D1_B001558",1931
"F12_B003771",1861
"E2_B003132",1958
"G7_B003129",2175
"O19_B002074",2570
"P8_B001558",2303
"E12_B003920",3072
"G9_B001554",2794
"D9_B001554",2235
"M16_B003894",2255
"J6_B001558",3075
"M13_B003995",3059
"M2_B003191",3354
"J12_B003920",3241
"H11_B001554",3527
"J13_B003995",3142
"O4_B001558",2190
"L5_B003126",2212
"I8_B003191",1974
"O9_B003528",1938
"G15_B003125",1850
"P5_B003129",1894
"C2_B003129",2681
"G10_B001558",2159
"J7_B003132",2178
"C16_B003920",2607
"D21_B003995",2594
"A1_B001558",2174
"E6_B001558",2256
"G6_B003191",2801
"F4_B003187",2171
"B3_B003191",2042
"D6_B003187",2458
"H6_B001554",2715
"H15_B003129",2342
"M15_B003125",2132
"F17_B003995",2528
"O20_B003771",3126
"H7_B001554",2107
"M11_B001554",2139
"L15_B003995",2398
"F15_B003125",1986
"F21_B002073",2128
"J15_B003894",2819
"K18_B003894",3051
"H18_B002074",2682
"P8_B003187",2368
"D14_B002074",1900
"P19_B000422",2214
"P16_B000422",2931
"D6_B001558",2414
"L3_B001558",2515
"K5_B003126",2070
"B4_B003191",1938
"I5_B003191",1886
"E16_B003129",2095
"P16_B003183",1634
"P20_B003183",1654
"F22_B002078",2361
"H14_B003771",2119
"I9_B002570",2341
"D22_B002079",2117
"J19_B002073",1968
"N14_B002074",1949
"E17_B003771",2278
"D18_B002078",2001
"G22_B002073",2068
"H16_B003179",1871
"K14_B000563",2042
"E22_B003183",2305
"G2_B000561",2409
"I14_B002079",2329
"N21_B003771",2599
"D20_B002077",1693
"L18_B002097",1602
"P6_B003132",2107
"K7_B003132",1629
"L16_B002079",1502
"G16_B002073",1671
"K3_B002531",1546
"J15_B002097",1945
"G21_B000422",1975
"I5_B002558",1797
"N11_B001554",2748
"A7_B002558",2305
"I10_B002074",1834
"I16_B002097",1531
"G18_B002073",1942
"O1_B003187",2143
"K21_B003995",2302
"A11_B001558",1781
"K1_B003191",1775
"H17_B000422",2636
"K16_B003771",2441
"K15_B000563",1954
"I10_B003995",2616
"G14_B003132",2012
"B4_B002558",2390
"G8_B001554",2328
"B16_B003187",2060
"O12_B003894",2470
"P7_B001554",2724
"N15_B003894",2654
"D2_B003129",2135
"D15_B002097",2055
"I13_B002074",2033
"G22_B003920",3666
"B10_B001554",2776
"K17_B001016",2209
"O6_B003648",2239
"J3_B003129",2969
"N16_B003132",2345
"P8_B003191",2880
"L1_B003129",2460
"A16_B002074",1898
"H14_B003129",1955
"J22_B003191",2336
"J14_B003132",1747
"J6_B003132",1793
"E3_B003126",1742
"O5_B003129",2000
"B3_B001558",1547
"M5_B002570",1681
"A20_B002074",1978
"M2_B001558",1974
"F8_B001554",3176
"A1_B003191",3148
"J8_B001554",3433
"A13_B003771",2583
"J8_B001558",2419
"N6_B001558",2428
"A9_B001554",2008
"L11_B001558",2336
"E8_B001554",2754
"G9_B001558",2206
"I8_B001554",2525
"L6_B001554",2851
"F8_B001558",2913
"H10_B001558",2505
"B12_B003771",2283
"J15_B003132",2699
"J15_B003187",2489
"L6_B001558",2466
"F5_B001558",2248
"K8_B001558",2461
"M14_B002097",2243
"J7_B002570",2444
"M10_B000561",2275
"C11_B001554",2374
"B17_B000563",2065
"M8_B000561",1657
"K8_B001554",2391
"M16_B002073",2732
"A6_B001558",1697
"O6_B003126",1542
"E8_B000561",1823
"A22_B000563",1787
"D1_B003132",1188
"M2_B003132",1370
"J22_B003129",1453
"B4_B003129",1437
"D14_B002073",1177
"N18_B000563",1774
"O6_B003129",1693
"I9_B000561",1552
"H3_B003126",1451
"M20_B000563",1325
"H5_B003132",1824
"D16_B003187",1634
"A15_B003132",1493
"A17_B002097",1459
"B8_B001558",1678
"E11_B001558",1515
"F16_B003126",1635
"J9_B001558",2142
"K22_B003125",1957
"A7_B001554",1767
"B19_B002074",1528
"I5_B003132",1724
"N19_B003920",2247
"K17_B002074",2259
"P4_B003187",2472
"F7_B001558",2288
"O5_B003187",2101
"L8_B001558",2304
"L10_B001554",1975
"N6_B002570",1985
"K8_B002558",2518
"E14_B003129",2577
"K5_B002558",2560
"G6_B002531",2617
"F9_B001554",2526
"K10_B001554",2476
"H3_B003132",2114
"M14_B002073",2219
"G15_B003129",2605
"K9_B002558",2105
"A22_B003191",1999
"N2_B003129",1706
"C7_B003132",2116
"E1_B003132",2429
"F2_B001558",2398
"I11_B002570",1831
"O12_B002570",2015
"N13_B003771",2520
"H1_B000561",2138
"J1_B000561",2429
"J9_B001554",3024
"A14_B000563",2572
"B15_B002097",2737
"A8_B001558",2047
"K15_B003771",2032
"L11_B001554",2319
"A1_B003132",2250
"H4_B001558",2042
"H6_B001558",1857
"J10_B001554",1702
"H16_B003132",2096
"K5_B002531",2275
"K14_B002097",1981
"O13_B002079",2186
"E11_B003523",2085
"F5_B003191",2177
"I13_B002077",2334
"L6_B001548",2216
"O15_B001007",1740
"G20_B000563",1556
"M2_B003126",1611
"O18_B001007",2098
"C14_B003116",2485
"C9_B003119",2096
"E12_B003120",2042
"E4_B003132",2550
"K14_B003116",2456
"M17_B003120",2652
"B17_B000422",2126
"D17_B003120",2076
"H17_B003120",2151
"N20_B000422",1841
"P6_B003191",2064
"B15_B002077",1682
"E19_B000420",1975
"A19_B002077",2143
"P3_B003187",2104
"B19_B000422",2277
"M7_B001548",2128
"J20_B000422",2056
"F7_B002531",1591
"G16_B000563",1552
"J16_B000420",2240
"B18_B000422",1922
"O17_B002079",1833
"O14_B002077",1974
"O15_B003179",1940
"P7_B001543",2379
"B16_B002079",2420
"G16_B000422",2353
"H21_B002073",1959
"E5_B001470",1856
"K14_B002074",2127
"A2_B003129",2131
"I4_B001558",1964
"I4_B003187",1692
"D17_B002079",1665
"N15_B003771",1617
"C13_B003129",1669
"D9_B001558",1958
"N12_B003119",2184
"H2_B003129",1561
"K14_B002073",1800
"K18_B003588",2497
"K20_B003588",2113
"K22_B003588",1843
"D9_B001470",2290
"D13_B001470",2261
"N20_B003112",2479
"J2_B000561",2510
"I21_B003129",2290
"M6_B002571",1842
"M9_B001545",2714
"B21_B002077",2297
"C10_B001546",2041
"G14_B003116",1697
"I16_B003126",1744
"A14_B002073",1497
"N9_B002570",1436
"B16_B000420",1808
"E16_B000420",1776
"I8_B001543",1686
"F1_B003187",1856
"F19_B003654",1971
"F6_B002570",1728
"F20_B003777",4026
"I19_B003920",3271
"E10_1001000302",3143
"E14_B003125",2815
"N13_B000422",1688
"F11_B000568",2009
"O3_B003126",1534
"G9_B003528",1336
"M1_B003187",1175
"K9_B001545",1409
"C6_B002531",1217
"H4_B003125",1371
"F2_B003126",1229
"A1_B002531",1303
"N17_B000563",1137
"I7_B000568",1887
"L22_B003179",1512
"M17_B000563",1302
"N14_B003894",1883
"C6_B000568",1437
"E5_B000561",1612
"C7_B001558",1364
"K1_B003995",1392
"D10_B001554",1564
"G18_B003771",1385
"I21_B003894",1997
"B10_B003995",1536
"L15_B002078",1773
"H8_B003129",1879
"D18_B000420",1312
"K22_B002097",1316
"O18_B002077",1185
"L2_B003191",1243
"M7_B003129",1339
"L10_B003523",1557
"G14_B003125",1396
"K7_B001558",1397
"D3_B003129",1399
"O6_B001558",1576
"H14_B003132",1590
"O8_B001558",1368
"H21_B002074",1249
"K16_B003125",1197
"H7_B001558",1676
"M8_B003187",1530
"F20_B002074",1412
"P4_B003132",1423
"B9_B001558",1390
"K16_B003132",1304
"F13_B000420",1821
"N16_B002077",1329
"D21_B002077",1253
"M18_B000420",952
"E20_B000563",1931
"P20_B003995",1536
"P20_B000563",1363
"I21_B000422",1341
"O10_B001558",1212
"F8_B003191",1672
"N21_B002074",1691
"M20_B002097",1734
"H20_B000420",1278
"K8_B003191",1373
"C1_B001558",1559
"C4_B003126",1629
"M1_B003126",1264
"C7_B003129",1390
"N14_B003126",1546
"B22_B002074",1453
"M13_B003771",1408
"D1_B003659",1405
"P3_B003126",1707
"E20_B002074",1141
"E3_B001558",916
"E13_B003105",805
"M7_B003119",879
