"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"DEFB1",2.8399395691224e-21,2.30793751294081,0.176,0.01,7.52157994882068e-17
"CDIPT",2.97004791964797e-21,-0.689301611368986,0.441,0.664,7.86617191518766e-17
"EFCAB11",2.97010600655488e-21,1.82049352119186,0.292,0.085,7.8663257583606e-17
"UCP2",3.06952242115711e-21,1.54294529437161,0.604,0.437,8.12963013243459e-17
"ICAM5",3.08976825158513e-21,-1.09377928144183,0.077,0.25,8.18325121432322e-17
"PRX",3.11362761907123e-21,-1.60430176861937,0.07,0.233,8.24644274911016e-17
"CTNNAL1",3.16121406585614e-21,1.08584254299911,0.434,0.198,8.37247545341999e-17
"CIITA",3.16838611836896e-21,-1.54947507532607,0.103,0.289,8.3914706345002e-17
"C17orf97",3.19473664509254e-21,1.52428622828929,0.273,0.07,8.46126000452759e-17
"GNG4",3.2008251737744e-21,3.43621226626655,0.188,0.017,8.47738547274149e-17
"EPB41",3.30089181603328e-21,-0.840238803222964,0.261,0.493,8.74241197476413e-17
"KIAA1683",3.36284732140732e-21,-0.942736114614879,0.363,0.596,8.90650113074728e-17
"CTXN1",3.55502715201133e-21,1.18256400595282,0.16,0.002,9.41548941210202e-17
"FAAP20",3.75579553295609e-21,-0.795261511010605,0.614,0.777,9.94722446903419e-17
"EBAG9",3.90777815194181e-21,-0.815696234235808,0.435,0.676,1.03497504354179e-16
"TMEM176B",3.92282939375228e-21,2.58239714224797,0.232,0.045,1.03896136493529e-16
"ADI1",4.01924520033089e-21,-0.625510053922235,0.662,0.833,1.06449709130764e-16
"AKR1B10",4.06870792955158e-21,3.98640570389279,0.177,0.012,1.07759729514174e-16
"FAM47E",4.12853788090369e-21,2.14546824895547,0.269,0.072,1.09344325775734e-16
"GAS2L2",4.46030220627423e-21,2.36418344174832,0.209,0.029,1.18131103933173e-16
"COBLL1",4.83586569777595e-21,-1.06077381257187,0.255,0.482,1.28077903005596e-16
"B3GNT3",4.88979905816685e-21,1.40488674238671,0.298,0.083,1.29506328055549e-16
"EIF1AY",5.19066079787548e-21,3.17415856541988,0.18,0.014,1.37474651231732e-16
"ARPC5",5.35063885172378e-21,-0.51899822678194,0.65,0.827,1.41711669987904e-16
"CD44",5.45309689963984e-21,-0.634897102484709,0.58,0.794,1.44425271386961e-16
"BRINP1",5.59902530339917e-21,2.92242817284282,0.167,0.006,1.48290185160527e-16
"HLA-DOB",5.60467714935223e-21,-2.52029679850235,0.02,0.14,1.48439874300594e-16
"GALNT14",5.66882032979688e-21,2.72225456387772,0.188,0.017,1.5013870643467e-16
"HOOK1",5.83272525520056e-21,-1.12839987220331,0.349,0.581,1.54479728383987e-16
"HSF4",5.86135785477766e-21,-0.731416819054221,0.102,0.285,1.55238062783786e-16
"LOC101927686",5.86874761531307e-21,2.38586811912264,0.17,0.008,1.55433780591567e-16
"PCMTD1",5.93213497028377e-21,-0.703153161219563,0.573,0.777,1.57112594687966e-16
"TNFAIP3",6.04352675224204e-21,0.897615094333621,0.425,0.192,1.6006280603313e-16
"TTLL9",6.07787064662449e-21,2.98613409395823,0.162,0.004,1.6097240407585e-16
"CCDC101",6.41116528885494e-21,-0.862104607475182,0.261,0.489,1.69799712675323e-16
"TTC16",6.46149425408332e-21,2.1561250516758,0.183,0.014,1.71132675319397e-16
"RHBDL1",6.53507077140427e-21,-1.63009165690044,0.082,0.25,1.73081349380642e-16
"MEIG1",6.63134703247623e-21,2.30078339491005,0.18,0.014,1.75631226155133e-16
"NFAT5",7.01302587772788e-21,-0.622899906364475,0.559,0.771,1.85739990371623e-16
"WDR66",7.73458051053534e-21,1.3370937881828,0.362,0.14,2.04850364821528e-16
"STOX1",7.89011064299375e-21,1.39266159704717,0.266,0.068,2.08969580379689e-16
"PNKD",8.044368465892e-21,-0.761086722550213,0.806,0.858,2.1305509881915e-16
"SAMHD1",8.07062444064095e-21,1.38393680233297,0.337,0.12,2.13750488310376e-16
