"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"TNFAIP8",0.00255836001128171,0.984023896408454,0.133,0.692,1,"TNFAIP8","NS"
"UBC",0.00256942942785078,1.63310308359016,1,1,1,"UBC","NS"
"IFITM1",0.00266732218330402,1.24777242311555,0.667,1,1,"IFITM1","NS"
"ANXA8L1",0.00272460649069219,0.944703342679415,0.133,0.692,1,"ANXA8L1","NS"
"CDV3",0.0028444180849922,0.944182471458693,0.533,0.846,1,"CDV3","NS"
"IFI27",0.00287517809148531,0.672813508587312,0.467,1,1,"IFI27","NS"
"DNTTIP2",0.00289969185329642,0.886470885808276,0.8,1,1,"DNTTIP2","NS"
"TMEM33",0.00290449689931696,0.991435411133773,0.733,0.923,1,"TMEM33","NS"
"ITGA6",0.00291737570152428,1.38940953550967,0.267,0.769,1,"ITGA6","NS"
"HNRNPK",0.00295627641104437,1.04575716961654,1,1,1,"HNRNPK","NS"
"EEF1A1",0.00298731850400085,1.23023584513551,1,1,1,"EEF1A1","NS"
"USB1",0.00301097200800208,0.768528170618212,0.467,0.923,1,"USB1","NS"
"MTHFD2",0.00302212287572223,0.863168811559553,0.333,0.846,1,"MTHFD2","NS"
"ATP1B3",0.00312892278230348,2.13777026654569,0.867,0.923,1,"ATP1B3","NS"
"PHLDA1",0.00315104515470018,0.735977132368839,0.267,0.846,1,"PHLDA1","NS"
"SEMA3C",0.00327685370378791,0.637342533662481,0.133,0.692,1,"SEMA3C","NS"
"UBE2I",0.00328608967896275,0.885776502655204,0.8,0.923,1,"UBE2I","NS"
"HTATIP2",0.00332288487942089,0.912675021872184,0.6,0.923,1,"HTATIP2","NS"
"TMEM132A",0.00332742578185595,0.671377017971799,0.067,0.615,1,"TMEM132A","NS"
"NAPA",0.00333093227675978,0.904210354655987,0.8,0.923,1,"NAPA","NS"
"SLC7A11",0.00335821174076564,1.02893855006276,0.267,0.846,1,"SLC7A11","NS"
"TFAP2A",0.00336664017731947,0.518031121673735,0.4,0.923,1,"TFAP2A","NS"
"VCPIP1",0.00345699815396923,0.339103968020547,0.067,0.615,1,"VCPIP1","NS"
"RELL1",0.0034776173804086,0.929456429393964,0.2,0.769,1,"RELL1","NS"
"MMADHC",0.00348236093337917,0.7661361592366,0.8,0.769,1,"MMADHC","NS"
"SDCBP",0.00349270502214843,0.706674223579874,0.533,1,1,"SDCBP","NS"
"PDPN",0.0035379193102107,1.25757042780499,0.133,0.692,1,"PDPN","NS"
"C6orf62",0.00355040936437913,1.00379133898224,0.867,1,1,"C6orf62","NS"
"UQCRC1",0.00358634187970406,1.12340861719271,0.8,1,1,"UQCRC1","NS"
"CNIH1",0.00363423010288103,0.88439084571657,0.533,0.846,1,"CNIH1","NS"
"IFI16",0.00367426780393014,1.04478503162378,0.667,0.923,1,"IFI16","NS"
"LYPD3",0.00370150829820427,0.999578318739437,0.2,0.769,1,"LYPD3","NS"
"RCN1",0.00379053725282923,1.16096270183673,0.6,0.923,1,"RCN1","NS"
"CNBP",0.00379753367211176,1.19257042885043,0.8,0.923,1,"CNBP","NS"
"CD109",0.00379829979434408,0.859398586612835,0.133,0.692,1,"CD109","NS"
"SLC7A5",0.00385222311798898,0.838526325705485,0.2,0.692,1,"SLC7A5","NS"
"ACTL6A",0.00388883302250192,0.936928779867159,0.533,0.769,1,"ACTL6A","NS"
"GFOD1",0.00408144922937457,0.775687160582336,0.067,0.615,1,"GFOD1","NS"
"NR4A1",0.00409226432820287,0.579453125639973,0.6,0.154,1,"NR4A1","NS"
"HACD2",0.00410745536024596,0.53863835450961,0.067,0.615,1,"HACD2","NS"
"DNAJC3",0.00413401754235591,1.09866101316575,0.933,1,1,"DNAJC3","NS"
"TSKU",0.00417606747274317,0.450219097845787,0.133,0.692,1,"TSKU","NS"
"OSBPL1A",0.00429109361237178,0.350666292345025,0.267,0.846,1,"OSBPL1A","NS"
"RUVBL2",0.00432120659711653,0.933105062227436,0.6,0.923,1,"RUVBL2","NS"
