"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pr.pt.occupancy","grouped_pr.n.nonzero.pts","gene","sig"
"IMMP1L",6.34570241974506e-08,-0.505971039603103,0.306,0.433,0.00168065928586948,0.299363057324841,10,0.367713004484305,5,"IMMP1L","p_val_adj<0.05"
"SHMT1",6.42949122934923e-08,-0.51995194199834,0.3,0.435,0.00170285075209314,0.461038961038961,10,0.495535714285714,5,"SHMT1","p_val_adj<0.05"
"SPSB1",6.4504983190778e-08,0.605764738294257,0.452,0.324,0.00170841447980775,0.366379310344828,9,0.401197604790419,4,"SPSB1","p_val_adj<0.05"
"RBMXL1",6.46204099288651e-08,-0.365236452261847,0.319,0.439,0.00171147155696599,0.329268292682927,10,0.455752212389381,5,"RBMXL1","p_val_adj<0.05"
"IYD",6.46398213469033e-08,-1.23241835794666,0.039,0.109,0.00171198566837273,0.375,7,0.464285714285714,4,"IYD","p_val_adj<0.05"
"ENKD1",6.53134191095111e-08,0.778658025362777,0.316,0.196,0.0017298259051154,0.658461538461538,11,0.415841584158416,5,"ENKD1","p_val_adj<0.05"
"COX5A",6.5438304036368e-08,0.298807844855487,0.874,0.847,0.00173313348240321,0.319599109131403,11,0.385321100917431,6,"COX5A","p_val_adj<0.05"
"EMB",6.5598297943694e-08,0.373369084751658,0.604,0.447,0.00173737092103874,0.32258064516129,11,0.452173913043478,5,"EMB","p_val_adj<0.05"
"CCDC163P",6.5865387516904e-08,-1.00785791204526,0.108,0.208,0.0017444447883852,0.576576576576577,9,0.579439252336449,4,"CCDC163P","p_val_adj<0.05"
"INTS5",6.62249764373755e-08,-0.395771358567012,0.16,0.28,0.00175396850094389,0.365853658536585,8,0.444444444444444,4,"INTS5","p_val_adj<0.05"
"HCG14",6.79912430322293e-08,0.973085458853101,0.145,0.052,0.00180074807170859,0.731543624161074,8,0.444444444444444,5,"HCG14","p_val_adj<0.05"
"GPATCH4",6.80940708238507e-08,-0.600509721768358,0.396,0.54,0.00180347146576968,0.297297297297297,11,0.37410071942446,6,"GPATCH4","p_val_adj<0.05"
"MSMO1",6.8329436461513e-08,0.679135540486071,0.466,0.328,0.00180970512468317,0.336116910229645,11,0.384615384615385,5,"MSMO1","p_val_adj<0.05"
"POC5",6.84532014700623e-08,0.700970449206987,0.23,0.117,0.0018129830409346,0.389830508474576,8,0.55,5,"POC5","p_val_adj<0.05"
"CDR2L",6.85772284676358e-08,-0.51531398054251,0.263,0.394,0.00181626789596534,0.533333333333333,9,0.54679802955665,4,"CDR2L","p_val_adj<0.05"
"COPS7A",6.93221247046457e-08,0.446108177830582,0.54,0.412,0.00183599647280254,0.345945945945946,12,0.405660377358491,4,"COPS7A","p_val_adj<0.05"
"LINC00997",6.98637288307812e-08,0.858453217263113,0.283,0.159,0.00185034085808324,0.45360824742268,9,0.536585365853659,4,"LINC00997","p_val_adj<0.05"
"THEM6",7.08861030942276e-08,-0.392617179718614,0.308,0.443,0.00187741844045062,0.300632911392405,9,0.328947368421053,6,"THEM6","p_val_adj<0.05"
"CHCHD5",7.1203824716536e-08,0.413468469205412,0.628,0.507,0.00188583329761746,0.387596899224806,10,0.505747126436782,5,"CHCHD5","p_val_adj<0.05"
"PHACTR2",7.12893359700031e-08,-0.289562349831197,0.442,0.583,0.00188809806316553,0.447136563876652,9,0.523333333333333,6,"PHACTR2","p_val_adj<0.05"
"KIF3A",7.13152509090082e-08,0.836315835621264,0.471,0.371,0.00188878442032508,0.533057851239669,9,0.460732984293194,5,"KIF3A","p_val_adj<0.05"
"NEBL",7.1719165215059e-08,0.465620220841434,0.467,0.332,0.00189948209072084,0.416666666666667,11,0.403508771929825,5,"NEBL","p_val_adj<0.05"
"CEP41",7.21178508075129e-08,1.18218135239078,0.343,0.229,0.00191004127863698,0.579545454545455,10,0.364406779661017,5,"CEP41","p_val_adj<0.05"
"WDR31",7.21814952777943e-08,0.489903302002273,0.129,0.041,0.00191172690243238,0.696969696969697,8,0.523809523809524,4,"WDR31","p_val_adj<0.05"
"EXOSC5",7.26561509647984e-08,-0.586523183328667,0.319,0.45,0.00192429815830268,0.414634146341463,9,0.40948275862069,6,"EXOSC5","p_val_adj<0.05"
"UEVLD",7.41159621006885e-08,-0.833065398679672,0.148,0.258,0.00196296125623674,0.375,8,0.511278195488722,4,"UEVLD","p_val_adj<0.05"
"ZCCHC14",7.4980014889191e-08,-0.811929561334492,0.278,0.404,0.00198584569434022,0.36140350877193,9,0.548076923076923,6,"ZCCHC14","p_val_adj<0.05"
"FREM2",7.52738906204356e-08,-2.03510729625473,0.082,0.169,0.00199362899308224,0.678571428571429,7,0.574712643678161,5,"FREM2","p_val_adj<0.05"
"FAM73A",7.57516894771962e-08,-0.430196119865392,0.343,0.472,0.00200628349580354,0.417613636363636,9,0.45679012345679,5,"FAM73A","p_val_adj<0.05"
"UBE2Q1",7.70440197369571e-08,-0.381822267268374,0.349,0.487,0.00204051086273331,0.318435754189944,12,0.346613545816733,5,"UBE2Q1","p_val_adj<0.05"
"SHTN1",7.78200647315378e-08,-0.575180677364702,0.332,0.462,0.00206106441441478,0.36950146627566,8,0.411764705882353,6,"SHTN1","p_val_adj<0.05"
"TIFA",7.85853234353297e-08,-0.466223101114403,0.204,0.33,0.00208133229118471,0.521531100478469,9,0.441176470588235,6,"TIFA","p_val_adj<0.05"
"IL18",7.8817365877802e-08,0.481897334769704,0.322,0.186,0.00208747793527359,0.344410876132931,9,0.625,5,"IL18","p_val_adj<0.05"
"DZANK1",7.90061598942214e-08,0.736887417240765,0.236,0.124,0.00209247814479845,0.826446280991736,10,0.59375,4,"DZANK1","p_val_adj<0.05"
"ATG4B",8.03771256672065e-08,-0.440726155999082,0.422,0.532,0.00212878817329597,0.369515011547344,11,0.485401459854015,5,"ATG4B","p_val_adj<0.05"
"ZDHHC2",8.28318570089108e-08,0.394011996844769,0.418,0.278,0.002193801732881,0.431235431235431,10,0.447552447552448,5,"ZDHHC2","p_val_adj<0.05"
"ELK4",8.32169849878458e-08,-0.287847932558132,0.414,0.551,0.0022040018474031,0.327058823529412,11,0.387323943661972,4,"ELK4","p_val_adj<0.05"
"LMAN1",8.40419389961069e-08,0.335711202325876,0.79,0.703,0.00222585075431189,0.327990135635018,11,0.367403314917127,6,"LMAN1","p_val_adj<0.05"
"MTO1",8.41096411038749e-08,-0.947085601846843,0.147,0.256,0.00222764384463613,0.503311258278146,8,0.409090909090909,5,"MTO1","p_val_adj<0.05"
"RAPGEF5",8.44050371693165e-08,0.788751547653216,0.446,0.322,0.00223546740942935,0.528384279475983,9,0.36144578313253,5,"RAPGEF5","p_val_adj<0.05"
"IL1RL2",8.49589893419662e-08,1.28753181865962,0.117,0.035,0.00225013883272197,0.575,9,0.666666666666667,4,"IL1RL2","p_val_adj<0.05"
"THSD4",8.50178433256697e-08,0.59504440782674,0.288,0.165,0.00225169758048036,0.398648648648649,10,0.552941176470588,5,"THSD4","p_val_adj<0.05"
"STK36",8.55171140773807e-08,1.09462013272625,0.241,0.126,0.00226492076633943,0.536290322580645,8,0.461538461538462,5,"STK36","p_val_adj<0.05"
"ZNF595",8.71546745835967e-08,-0.71083750893962,0.139,0.25,0.00230829155634656,0.307692307692308,9,0.403100775193798,4,"ZNF595","p_val_adj<0.05"
"TXNL4B",8.74988605555965e-08,-1.0280289861204,0.2,0.311,0.00231740732181497,0.336585365853659,9,0.525,5,"TXNL4B","p_val_adj<0.05"
"CTSS",8.79151339506466e-08,0.763104995630672,0.764,0.777,0.00232843232268287,0.365605095541401,10,0.4075,6,"CTSS","p_val_adj<0.05"
"STK11IP",8.79916283496822e-08,0.531231284253816,0.239,0.124,0.00233045827684133,0.616326530612245,10,0.4375,5,"STK11IP","p_val_adj<0.05"
"UNC5CL",8.95830552903262e-08,0.850221150711314,0.105,0.027,0.00237260721936429,0.444444444444444,7,0.571428571428571,4,"UNC5CL","p_val_adj<0.05"
"HLA-L",8.99042303491609e-08,-1.37384714039013,0.379,0.48,0.00238111354079753,0.416452442159383,10,0.526315789473684,6,"HLA-L","p_val_adj<0.05"
"P4HB",9.1692602442779e-08,0.423156492583644,0.935,0.918,0.002428478575697,0.361458333333333,11,0.359408033826638,6,"P4HB","p_val_adj<0.05"
"EPB41L4A-AS1",9.26178786156291e-08,0.691407253653273,0.242,0.126,0.00245298451513494,0.42570281124498,9,0.369230769230769,5,"EPB41L4A-AS1","p_val_adj<0.05"
"WARS2",9.29495880450516e-08,0.565931256805922,0.234,0.117,0.00246176983937319,0.3375,10,0.45,4,"WARS2","p_val_adj<0.05"
"SNHG10",9.35340804578938e-08,0.702607294490672,0.253,0.132,0.00247725012092732,0.503846153846154,9,0.367647058823529,4,"SNHG10","p_val_adj<0.05"
"DPF2",9.40436987195459e-08,-0.53484437486294,0.373,0.507,0.00249074736058717,0.31331592689295,10,0.417624521072797,6,"DPF2","p_val_adj<0.05"
"FAIM",9.45297733657996e-08,0.720232771620905,0.473,0.361,0.0025036210475932,0.448559670781893,11,0.446236559139785,5,"FAIM","p_val_adj<0.05"
"WASH7P",9.50618682079655e-08,-0.631467065541054,0.258,0.383,0.00251771357948796,0.324528301886792,10,0.426395939086294,5,"WASH7P","p_val_adj<0.05"
"L3HYPDH",9.52085483102069e-08,-0.896270379187778,0.097,0.19,0.00252159840199583,0.31,9,0.602040816326531,4,"L3HYPDH","p_val_adj<0.05"
"EDC4",9.55097718922824e-08,-0.995593194725279,0.194,0.313,0.0025295763085671,0.291457286432161,9,0.416149068322981,5,"EDC4","p_val_adj<0.05"
"CHMP2A",9.57103151091192e-08,0.397803330337274,0.835,0.827,0.00253488769566502,0.327505827505828,12,0.392018779342723,6,"CHMP2A","p_val_adj<0.05"
"CUX1",9.6043100195143e-08,-0.351992252818778,0.701,0.798,0.00254370150866836,0.354166666666667,12,0.413625304136253,6,"CUX1","p_val_adj<0.05"
"HDAC10",9.64482134261466e-08,0.584376128846264,0.184,0.083,0.00255443093259149,0.396825396825397,7,0.581395348837209,5,"HDAC10","p_val_adj<0.05"
"PSMB7",9.80462853446151e-08,0.270590171145284,0.738,0.631,0.00259675586735213,0.336411609498681,12,0.403076923076923,6,"PSMB7","p_val_adj<0.05"
"LCMT1",9.8243302451803e-08,-0.464750488755641,0.367,0.501,0.002601973865436,0.36604774535809,9,0.368217054263566,6,"LCMT1","p_val_adj<0.05"
"SNRPE",9.90753858337929e-08,-0.35335709138631,0.804,0.825,0.00262401159380801,0.329297820823245,12,0.383529411764706,6,"SNRPE","p_val_adj<0.05"
"MAGI1",9.92807044160593e-08,-0.601277837484392,0.36,0.499,0.00262944945645933,0.345945945945946,10,0.439688715953307,5,"MAGI1","p_val_adj<0.05"
"RBPJ",9.94519787069662e-08,-0.400528877008152,0.583,0.703,0.002633985656054,0.318864774624374,12,0.367403314917127,5,"RBPJ","p_val_adj<0.05"
"CALR",9.98171428740193e-08,-0.288107965132996,0.946,0.967,0.0026436570290184,0.343621399176955,12,0.369477911646586,6,"CALR","p_val_adj<0.05"
"MRPL34",1.0029380678568e-07,-0.396525270896672,0.533,0.639,0.00265628147271873,0.325411334552102,10,0.477203647416413,6,"MRPL34","p_val_adj<0.05"
"PITPNC1",1.00721390602042e-07,1.05764897993529,0.296,0.179,0.00266760603009509,0.582236842105263,9,0.445652173913043,5,"PITPNC1","p_val_adj<0.05"
"NOMO1",1.00726965273382e-07,-0.465455147124267,0.389,0.522,0.00266775367526553,0.335839598997494,10,0.475836431226766,5,"NOMO1","p_val_adj<0.05"
"XAF1",1.01075118444984e-07,-0.568935627568026,0.543,0.654,0.00267697451201539,0.376344086021505,9,0.465875370919881,6,"XAF1","p_val_adj<0.05"
"ARV1",1.01250522463682e-07,-0.467354906586587,0.35,0.474,0.00268162008745062,0.33983286908078,10,0.471311475409836,5,"ARV1","p_val_adj<0.05"
"SFI1",1.02003506059498e-07,0.505502262880653,0.272,0.151,0.00270156285798581,0.419354838709677,10,0.474358974358974,4,"SFI1","p_val_adj<0.05"
"PKD1P6",1.02828865047977e-07,-0.914022874098333,0.289,0.412,0.00272342249079566,0.491582491582492,9,0.39622641509434,6,"PKD1P6","p_val_adj<0.05"
"ZNFX1",1.0463229936361e-07,-0.52754763851015,0.594,0.687,0.00277118644864522,0.339344262295082,10,0.429378531073446,5,"ZNFX1","p_val_adj<0.05"
"KIFC2",1.05158599420912e-07,-1.15148537667991,0.047,0.12,0.00278512550566286,0.354166666666667,8,0.354838709677419,4,"KIFC2","p_val_adj<0.05"
"INO80E",1.05992520527613e-07,-0.580028927657547,0.26,0.384,0.00280721190617383,0.310861423220974,9,0.398989898989899,5,"INO80E","p_val_adj<0.05"
"APH1B",1.06548714534749e-07,0.804837698375688,0.227,0.117,0.00282194270445284,0.527896995708155,8,0.416666666666667,4,"APH1B","p_val_adj<0.05"
"RELL1",1.07120652172738e-07,0.754125987567402,0.405,0.283,0.00283709047279497,0.379807692307692,9,0.5,6,"RELL1","p_val_adj<0.05"
"JMJD8",1.07392744532472e-07,-0.429589103084517,0.639,0.72,0.00284429683894252,0.338414634146341,11,0.390835579514825,5,"JMJD8","p_val_adj<0.05"
"DLAT",1.08713171797225e-07,0.583828572973394,0.34,0.208,0.00287926835504951,0.406876790830946,12,0.411214953271028,4,"DLAT","p_val_adj<0.05"
"BNIPL",1.09153680626752e-07,-0.833040007639989,0.157,0.268,0.00289093523139953,0.447204968944099,7,0.427536231884058,4,"BNIPL","p_val_adj<0.05"
"KIAA1656",1.09508148657512e-07,0.400658408003865,0.155,0.058,0.00290032331719422,0.528301886792453,8,0.533333333333333,4,"KIAA1656","p_val_adj<0.05"
"PDE4B",1.09812031624489e-07,-1.26251669819941,0.039,0.107,0.00290837165757459,0.4,8,0.472727272727273,5,"PDE4B","p_val_adj<0.05"
"SEC31A",1.10071873875259e-07,-0.265770712048013,0.722,0.835,0.00291525357958623,0.340080971659919,11,0.367441860465116,6,"SEC31A","p_val_adj<0.05"
"POM121C",1.10164868389706e-07,-0.276738576026901,0.502,0.633,0.00291771653930135,0.432170542635659,12,0.386503067484663,5,"POM121C","p_val_adj<0.05"
"ZNF528",1.10429175390327e-07,-1.21871530987588,0.112,0.212,0.00292471671021281,0.339130434782609,10,0.623853211009174,4,"ZNF528","p_val_adj<0.05"
"HIVEP3",1.11041221101646e-07,-0.302299849410644,0.163,0.28,0.0029409267408771,0.592814371257485,8,0.423611111111111,4,"HIVEP3","p_val_adj<0.05"
"WASF2",1.11369110245546e-07,-0.260126650434933,0.768,0.845,0.00294961088485328,0.334600760456274,11,0.367816091954023,6,"WASF2","p_val_adj<0.05"
"SPTLC3",1.14341451138664e-07,0.766889789724801,0.177,0.076,0.00302833333340752,0.478021978021978,8,0.435897435897436,5,"SPTLC3","p_val_adj<0.05"
"ID3",1.1503782002923e-07,-0.397225127792675,0.41,0.52,0.00304677666347415,0.387173396674584,11,0.529850746268657,5,"ID3","p_val_adj<0.05"
"LINC00665",1.16150976788337e-07,-0.651661437533572,0.17,0.282,0.00307625862023912,0.445714285714286,8,0.613793103448276,6,"LINC00665","p_val_adj<0.05"
"SIPA1L3",1.1617954516047e-07,-0.986040053484958,0.317,0.439,0.00307701525357506,0.312883435582822,10,0.429203539823009,5,"SIPA1L3","p_val_adj<0.05"
"NPIPB6",1.17358125813238e-07,0.782720877841267,0.196,0.093,0.00310822996216361,0.427860696517413,8,0.395833333333333,5,"NPIPB6","p_val_adj<0.05"
"MTFMT",1.17755396189353e-07,0.694503977946996,0.365,0.243,0.003118751668075,0.306666666666667,9,0.424,4,"MTFMT","p_val_adj<0.05"
"NAMPT",1.18223105117056e-07,0.51851365696063,0.667,0.596,0.00313113893902522,0.446715328467153,11,0.390879478827362,6,"NAMPT","p_val_adj<0.05"
"CTR9",1.20278263450839e-07,-0.340080034157067,0.463,0.602,0.00318556980749546,0.315789473684211,11,0.361290322580645,6,"CTR9","p_val_adj<0.05"
"BNIP3L",1.20454884046389e-07,0.412999432738414,0.675,0.553,0.00319024760396861,0.321789321789322,11,0.392982456140351,5,"BNIP3L","p_val_adj<0.05"
"GADD45B",1.21278251868622e-07,-0.813546185734646,0.78,0.812,0.00321205450074046,0.34207240948814,11,0.425837320574163,5,"GADD45B","p_val_adj<0.05"
"TMC4",1.21663578688182e-07,0.335731682777443,0.706,0.623,0.00322225988155649,0.376551724137931,9,0.433021806853583,5,"TMC4","p_val_adj<0.05"
"CCDC186",1.2228193804214e-07,-0.384414947073002,0.544,0.682,0.00323863712904608,0.305903398926655,10,0.381766381766382,6,"CCDC186","p_val_adj<0.05"
"VPS72",1.22361363618823e-07,-0.300360669672568,0.442,0.583,0.00324074071544454,0.387665198237885,9,0.39,5,"VPS72","p_val_adj<0.05"
"TECR",1.23666834787457e-07,0.376155514597088,0.838,0.784,0.00327531611934579,0.320557491289199,11,0.413366336633663,5,"TECR","p_val_adj<0.05"
"KMT2D",1.23738712432461e-07,-0.311886552555817,0.311,0.439,0.00327721979877374,0.326018808777429,8,0.464601769911504,5,"KMT2D","p_val_adj<0.05"
"C11orf1",1.23961353109113e-07,0.364231309057498,0.516,0.365,0.00328311643709485,0.326415094339623,10,0.473404255319149,5,"C11orf1","p_val_adj<0.05"
"CAMKK1",1.24310094162408e-07,-1.4390512489414,0.045,0.117,0.00329235284389138,0.369565217391304,7,0.633333333333333,4,"CAMKK1","p_val_adj<0.05"
"DDX18",1.24473325291766e-07,-0.543316904285518,0.784,0.831,0.00329667602035243,0.37888198757764,12,0.399532710280374,6,"DDX18","p_val_adj<0.05"
"PPIE",1.25135445129481e-07,-0.362241077865862,0.543,0.649,0.00331421226425431,0.333333333333333,11,0.401197604790419,6,"PPIE","p_val_adj<0.05"
"ITGAV",1.25467498646502e-07,0.505272178962092,0.418,0.282,0.00332300670165262,0.331002331002331,10,0.372413793103448,6,"ITGAV","p_val_adj<0.05"
"THOC6",1.2553422090359e-07,-0.384952939152985,0.463,0.583,0.00332477384063159,0.328421052631579,11,0.383333333333333,5,"THOC6","p_val_adj<0.05"
"CKAP4",1.25650764720932e-07,-0.439942511670552,0.438,0.561,0.00332786050363389,0.351111111111111,11,0.394463667820069,6,"CKAP4","p_val_adj<0.05"
"PPP1R1B",1.26002599114124e-07,0.716735281760598,0.361,0.245,0.00333717883753758,0.479784366576819,9,0.587301587301587,5,"PPP1R1B","p_val_adj<0.05"
"ST6GALNAC4",1.27222679225012e-07,-0.718017535470119,0.242,0.359,0.00336949265927445,0.377510040160643,10,0.389189189189189,5,"ST6GALNAC4","p_val_adj<0.05"
"RAB20",1.31390734805411e-07,-0.44425909464089,0.317,0.46,0.00347988361132132,0.368098159509202,10,0.362869198312236,6,"RAB20","p_val_adj<0.05"
"MSRA",1.33679349826026e-07,0.275207037708795,0.172,0.07,0.00354049758014229,0.378531073446328,8,0.638888888888889,4,"MSRA","p_val_adj<0.05"
"LINC00623",1.34305234486165e-07,0.663159474770638,0.355,0.227,0.00355707413536607,0.449315068493151,11,0.401709401709402,6,"LINC00623","p_val_adj<0.05"
"CCDC117",1.35819778913619e-07,-0.479301021104603,0.347,0.482,0.00359718684452721,0.438202247191011,9,0.387096774193548,5,"CCDC117","p_val_adj<0.05"
"PPOX",1.36049470163623e-07,1.05728853021985,0.405,0.309,0.00360327021728355,0.622596153846154,8,0.471698113207547,5,"PPOX","p_val_adj<0.05"
"SLC35A3",1.36377268128934e-07,0.640540540105631,0.533,0.386,0.0036119519463948,0.391224862888483,10,0.42713567839196,5,"SLC35A3","p_val_adj<0.05"
"TMPRSS13",1.37080390030209e-07,0.779172818795826,0.206,0.097,0.00363057412995007,0.419811320754717,9,0.5,4,"TMPRSS13","p_val_adj<0.05"
"COL1A2",1.38046432887194e-07,-0.672695004045262,0.083,0.173,0.00365615977501734,0.623529411764706,8,0.741573033707865,5,"COL1A2","p_val_adj<0.05"
"SLC37A1",1.40023473099819e-07,0.714533901471625,0.442,0.334,0.0037085216850487,0.508810572687225,10,0.331395348837209,6,"SLC37A1","p_val_adj<0.05"
"MAGED1",1.40430323403257e-07,-0.368792802287349,0.629,0.734,0.00371929711533525,0.379256965944272,12,0.351851851851852,5,"MAGED1","p_val_adj<0.05"
"PLD2",1.42356263337996e-07,-0.574684399227926,0.114,0.216,0.00377030563450682,0.35042735042735,8,0.459459459459459,6,"PLD2","p_val_adj<0.05"
"NSD1",1.43465379130304e-07,-0.301128861411974,0.366,0.497,0.00379968056626611,0.398936170212766,11,0.3671875,5,"NSD1","p_val_adj<0.05"
"FDXR",1.44553669230179e-07,0.706590617749581,0.323,0.202,0.00382850392956128,0.605421686746988,11,0.605769230769231,6,"FDXR","p_val_adj<0.05"
"TCERG1",1.44929641824254e-07,-0.270232212823267,0.51,0.629,0.00383846156371537,0.305343511450382,11,0.376543209876543,6,"TCERG1","p_val_adj<0.05"
"C16orf70",1.47001073281226e-07,-0.769895663890804,0.179,0.291,0.00389332342585328,0.385869565217391,9,0.44,4,"C16orf70","p_val_adj<0.05"
"FADS2",1.4844975596644e-07,-0.736025488773408,0.148,0.26,0.00393169178677116,0.506578947368421,9,0.634328358208955,5,"FADS2","p_val_adj<0.05"
"RPL8",1.49121413610595e-07,-0.319557693472676,0.973,0.983,0.0039494806394766,0.358358358358358,12,0.369565217391304,6,"RPL8","p_val_adj<0.05"
"MAK",1.49554935628705e-07,0.689314098686327,0.392,0.276,0.00396096247012625,0.645161290322581,10,0.5,5,"MAK","p_val_adj<0.05"
"ZNF714",1.49808684055673e-07,-0.51002777487204,0.231,0.357,0.00396768299721449,0.582278481012658,10,0.472826086956522,6,"ZNF714","p_val_adj<0.05"
"HSD11B1L",1.49977426894451e-07,0.668521910485313,0.296,0.177,0.00397215215129953,0.6875,9,0.395604395604396,4,"HSD11B1L","p_val_adj<0.05"
"CKS2",1.50844485873991e-07,-0.34788687789459,0.573,0.682,0.00399511620837266,0.345238095238095,11,0.441595441595442,6,"CKS2","p_val_adj<0.05"
"ITPKB",1.51353866659531e-07,-0.400067445768642,0.14,0.25,0.00400860715847769,0.354166666666667,8,0.364341085271318,4,"ITPKB","p_val_adj<0.05"
"STUB1",1.51649524516628e-07,-0.282569338886018,0.615,0.711,0.00401643765682288,0.373417721518987,12,0.371584699453552,6,"STUB1","p_val_adj<0.05"
"THAP11",1.51945846646307e-07,-0.512640293641253,0.395,0.507,0.00402428574842745,0.327586206896552,11,0.448275862068966,6,"THAP11","p_val_adj<0.05"
"FGFR1OP2",1.52753695381539e-07,-0.442494427194663,0.315,0.449,0.00404568162218006,0.373456790123457,10,0.454545454545455,5,"FGFR1OP2","p_val_adj<0.05"
"WDR13",1.53234612056964e-07,0.565593484849952,0.617,0.544,0.0040584187003287,0.39589905362776,11,0.346428571428571,6,"WDR13","p_val_adj<0.05"
"XRCC4",1.53483069955203e-07,0.806737867397874,0.225,0.115,0.00406499910776356,0.350649350649351,10,0.508474576271186,4,"XRCC4","p_val_adj<0.05"
"LRRC41",1.53586173145771e-07,-0.445166157755158,0.383,0.517,0.00406772979576575,0.315521628498728,11,0.402255639097744,5,"LRRC41","p_val_adj<0.05"
"SMPDL3B",1.56218687730968e-07,-0.553972615434675,0.426,0.551,0.00413745194455469,0.491990846681922,9,0.580985915492958,5,"SMPDL3B","p_val_adj<0.05"
"SLC44A1",1.56898907431361e-07,0.649792184455814,0.465,0.336,0.00415546756331959,0.374476987447699,9,0.38728323699422,5,"SLC44A1","p_val_adj<0.05"
"PLCXD1",1.5705330800634e-07,-0.657949777655347,0.156,0.266,0.00415955686254791,0.58125,7,0.474452554744526,4,"PLCXD1","p_val_adj<0.05"
"ALKBH2",1.57115455660511e-07,-0.643364433108164,0.184,0.301,0.00416120284316864,0.306878306878307,9,0.561290322580645,6,"ALKBH2","p_val_adj<0.05"
"KDSR",1.58168923093811e-07,0.385476958952103,0.494,0.363,0.00418910392813959,0.31163708086785,11,0.39572192513369,6,"KDSR","p_val_adj<0.05"
"SRRM1",1.59318793801848e-07,-0.314746916214952,0.816,0.891,0.00421955825384194,0.347255369928401,11,0.372549019607843,6,"SRRM1","p_val_adj<0.05"
"BIRC3",1.59802674088006e-07,0.363925008925347,0.425,0.287,0.00423237382322084,0.43348623853211,9,0.304054054054054,6,"BIRC3","p_val_adj<0.05"
"TDP2",1.60140282759775e-07,-0.255756312784045,0.281,0.412,0.00424131538889263,0.27681660899654,11,0.547169811320755,5,"TDP2","p_val_adj<0.05"
"TRANK1",1.6380829366049e-07,-0.897776649343472,0.175,0.285,0.00433846265759807,0.461111111111111,10,0.469387755102041,6,"TRANK1","p_val_adj<0.05"
"PDGFRL",1.64559280063563e-07,0.857751251934001,0.21,0.105,0.00435835253248346,0.560185185185185,8,0.407407407407407,4,"PDGFRL","p_val_adj<0.05"
"TMEM209",1.64842364133775e-07,-0.391844996419049,0.377,0.522,0.00436585001408303,0.390180878552972,8,0.438661710037175,5,"TMEM209","p_val_adj<0.05"
"RIOK3",1.68409423156351e-07,-0.520477289236629,0.566,0.678,0.00446032357229596,0.335628227194492,11,0.455587392550143,6,"RIOK3","p_val_adj<0.05"
"DLG5",1.69180993821263e-07,0.490493547236434,0.536,0.373,0.00448075862135614,0.389090909090909,10,0.338541666666667,6,"DLG5","p_val_adj<0.05"
"RRP36",1.70969485681815e-07,-0.449307890082064,0.357,0.474,0.00452812682828288,0.318801089918256,11,0.422131147540984,6,"RRP36","p_val_adj<0.05"
"CHRAC1",1.73033292787365e-07,-0.373379458833679,0.434,0.569,0.00458278675947337,0.352017937219731,10,0.354948805460751,5,"CHRAC1","p_val_adj<0.05"
"GCDH",1.74123873663623e-07,-0.346002496071983,0.269,0.396,0.00461167079398106,0.438405797101449,10,0.377450980392157,4,"GCDH","p_val_adj<0.05"
"ANKRD17",1.74959361514752e-07,-0.536072787729351,0.49,0.621,0.00463379868971821,0.300198807157058,11,0.384375,5,"ANKRD17","p_val_adj<0.05"
"XBP1",1.76301997413461e-07,0.350695371284746,0.923,0.901,0.00466935840149552,0.360759493670886,12,0.362068965517241,6,"XBP1","p_val_adj<0.05"
"SLC44A4",1.7835091927801e-07,0.789072726386022,0.715,0.637,0.00472362409707809,0.393732970027248,11,0.472560975609756,5,"SLC44A4","p_val_adj<0.05"
"PROSC",1.80126525273751e-07,-0.419354718515642,0.377,0.517,0.0047706510218753,0.289405684754522,11,0.37593984962406,5,"PROSC","p_val_adj<0.05"
"NPRL3",1.81818150143124e-07,-0.539362355075001,0.244,0.367,0.00481545370654063,0.358565737051793,9,0.492063492063492,6,"NPRL3","p_val_adj<0.05"
"LYZ",1.82284716598558e-07,1.45235793442167,0.195,0.095,0.0048278107191128,0.62,8,0.612244897959184,5,"LYZ","p_val_adj<0.05"
"MTCH1",1.82707251995739e-07,-0.323011321199111,0.803,0.835,0.00483900156910715,0.330909090909091,12,0.395348837209302,6,"MTCH1","p_val_adj<0.05"
"TRIM31",1.83618469596697e-07,1.01532199117325,0.187,0.087,0.00486313516726853,0.708333333333333,7,0.466666666666667,4,"TRIM31","p_val_adj<0.05"
"TMEM230",1.83970235223106e-07,-0.429551395363056,0.717,0.779,0.00487245167988396,0.334239130434783,12,0.403990024937656,6,"TMEM230","p_val_adj<0.05"
"HSPBAP1",1.86579928835122e-07,-1.02584840105387,0.107,0.202,0.0049415694151982,0.327272727272727,9,0.461538461538462,6,"HSPBAP1","p_val_adj<0.05"
"PRCP",1.87159142518114e-07,0.564621776119391,0.429,0.301,0.00495690988959225,0.45124716553288,10,0.606451612903226,5,"PRCP","p_val_adj<0.05"
"FGFR2",1.88302479710721e-07,-0.615890335242375,0.118,0.219,0.00498719117513844,0.363636363636364,10,0.371681415929204,4,"FGFR2","p_val_adj<0.05"
