"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"TMEM139",1.49200861171836e-106,2.05540799003463,0.092,0.481,3.95158480813609e-102,0.776595744680851,5,0.934934934934935,7,"TMEM139","p_val_adj<0.05"
"GJB3",2.35601422846905e-166,2.05126343103384,0.11,0.667,6.23990368410028e-162,0.530973451327434,8,0.525974025974026,8,"GJB3","p_val_adj<0.05"
"VMO1",1.03011789749598e-80,2.03956668620994,0.128,0.448,2.72826725151812e-76,0.816793893129771,7,0.974193548387097,7,"VMO1","p_val_adj<0.05"
"SACS",4.94702498384254e-94,2.0388589870197,0.041,0.395,1.3102195669707e-89,0.285714285714286,8,0.892682926829268,7,"SACS","p_val_adj<0.05"
"QSOX1",3.26899824631302e-97,2.03793335750357,0.486,0.711,8.65794185536003e-93,0.32064128256513,11,0.649289099526066,11,"QSOX1","p_val_adj<0.05"
"POPDC3",3.38238959371957e-30,2.03561566121177,0.009,0.135,8.95825883896627e-26,0.333333333333333,5,0.455516014234875,8,"POPDC3","p_val_adj<0.05"
"WNT10A",3.5842608279204e-109,2.01714894046369,0.032,0.427,9.49291480274717e-105,0.636363636363636,5,0.806306306306306,8,"WNT10A","p_val_adj<0.05"
"C3",2.54797181107529e-90,2.016453881453,0.4,0.637,6.7483033416329e-86,0.469586374695864,11,0.72583081570997,10,"C3","p_val_adj<0.05"
"CHST4",4.59854421680484e-95,2.01054119907466,0.032,0.388,1.21792443582076e-90,0.818181818181818,2,0.977695167286245,7,"CHST4","p_val_adj<0.05"
"GBP5",1.98059425475389e-29,2.00492655586126,0.079,0.242,5.24560388371568e-25,0.839506172839506,6,0.910536779324056,7,"GBP5","p_val_adj<0.05"
"ANXA8",1.19904418236591e-51,2.00474204389298,0.057,0.285,3.17566851699612e-47,0.542372881355932,7,0.937605396290051,7,"ANXA8","p_val_adj<0.05"
"MMEL1",3.97837840459503e-117,1.99412251260244,0.072,0.487,1.05367352045699e-112,0.324324324324324,6,0.826904055390702,8,"MMEL1","p_val_adj<0.05"
"KLK10",2.09903410781361e-90,1.9922467317854,0.039,0.386,5.55929183454435e-86,0.9,2,0.48318804483188,8,"KLK10","p_val_adj<0.05"
"TMEM176B",1.66747648766472e-96,1.98884344714983,0.232,0.564,4.41631147758e-92,0.483193277310924,6,0.806479113384484,8,"TMEM176B","p_val_adj<0.05"
"PCDHB2",7.49940880268598e-86,1.97965204306602,0.047,0.383,1.98621842139138e-81,0.604166666666667,5,0.945911949685535,8,"PCDHB2","p_val_adj<0.05"
"KRT16",9.8168627724977e-107,1.97859295151918,0.069,0.478,2.59999610529602e-102,0.323943661971831,8,0.678751258811682,8,"KRT16","p_val_adj<0.05"
