"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
4.90331660489412e-05,0.665185572157601,0.289,0.177,1,"3","PRKRA"
5.19979598005813e-05,0.471742354326261,0.379,0.252,1,"3","MRPL3"
5.22573238262192e-05,0.614006654711367,0.313,0.198,1,"3","ABHD14B"
5.24763610360553e-05,0.505558166237018,0.37,0.249,1,"3","UBE2V2"
5.26777578551701e-05,0.531766408295844,0.374,0.252,1,"3","BRD3"
5.67723092941773e-05,0.459450378075338,0.355,0.238,1,"3","MAD1L1"
5.72763121779325e-05,0.280246932374203,0.351,0.22,1,"3","USP24"
5.89222001296312e-05,0.254044965659182,0.507,0.38,1,"3","NRBP1"
6.0870067373619e-05,0.407030102026614,0.607,0.499,1,"3","NCOR1"
6.22979183246111e-05,0.329211629441982,0.265,0.155,1,"3","HMBOX1"
6.23122498684114e-05,0.346195069174648,0.536,0.394,1,"3","NDUFV1"
6.24382750738767e-05,1.11761482155633,0.427,0.32,1,"3","SOX4"
6.30546423023254e-05,0.347690466267603,0.379,0.249,1,"3","TRAPPC4"
6.63485059707254e-05,0.331128591168831,0.341,0.224,1,"3","ZAK"
6.72891200186632e-05,0.275969703276639,0.502,0.38,1,"3","RNF10"
7.05213126951311e-05,0.509289728461352,0.498,0.372,1,"3","BROX"
7.14387437383683e-05,0.661236229401182,0.336,0.218,1,"3","TRIM26"
7.3536079777483e-05,0.308908903045479,0.37,0.242,1,"3","CPSF6"
7.36740718190703e-05,0.331755512973624,0.417,0.277,1,"3","CUL3"
7.44704447199582e-05,0.339764411477119,0.403,0.276,1,"3","HSD17B12"
7.47404486675495e-05,0.338151749308457,0.701,0.602,1,"3","AHSA1"
7.6584014494213e-05,0.54154702386519,0.332,0.211,1,"3","BTN2A2"
7.71262456457438e-05,0.329352145305509,0.46,0.316,1,"3","POM121"
7.91742556886065e-05,0.365856760311077,0.251,0.145,1,"3","TRAPPC2"
7.94872737161541e-05,0.288960483485038,0.464,0.322,1,"3","WBSCR22"
8.1983155964953e-05,0.416641834046607,0.265,0.16,1,"3","FBXL3"
8.26829301862524e-05,0.324099887914079,0.346,0.228,1,"3","CREB3"
8.43826875933721e-05,0.349730618740146,0.758,0.621,1,"3","NONO"
8.72203567600056e-05,0.603141036415632,0.308,0.198,1,"3","RSBN1"
8.89896121690034e-05,0.513294512822791,0.374,0.246,1,"3","OTULIN"
9.06839256313764e-05,0.451793294042504,0.512,0.382,1,"3","YTHDF2"
9.09576315751744e-05,0.404006807636118,0.54,0.387,1,"3","ANKRD44"
9.3538878625432e-05,0.291191780884902,0.488,0.34,1,"3","UPF2"
9.86085889714662e-05,0.671877431244615,0.327,0.211,1,"3","PER2"
9.8950892090035e-05,0.253442078040216,0.299,0.183,1,"3","TRMT6"
0.000100035280030552,0.398409642502267,0.427,0.309,1,"3","PARP4"
0.000101623532940084,0.299786191749046,0.749,0.641,1,"3","MAT2A"
0.000103289089235303,0.367883289918702,0.431,0.312,1,"3","ZNF800"
0.000105895270196161,0.641094844020096,0.318,0.201,1,"3","CARD9"
0.000106949052157883,0.254581662017192,0.754,0.658,1,"3","GLA"
0.000109452028485349,0.410893828196243,0.36,0.241,1,"3","CHPT1"
0.000111995926129697,0.295127517482318,0.526,0.397,1,"3","CCAR1"
0.000116485696258955,0.348858194751553,0.436,0.317,1,"3","UBE2H"
0.000117439626499692,0.560755269009118,0.308,0.202,1,"3","PNO1"
0.000119169610594293,0.441423390868922,0.379,0.264,1,"3","PTGS1"
0.000120408271563754,0.502022847171705,0.507,0.354,1,"3","ZC3H4"
0.000123575303252559,0.358054831177754,0.626,0.496,1,"3","PRMT2"
0.000123668086314447,0.311728966167334,0.536,0.408,1,"3","HSPA4"
0.000124751546537135,0.348965987805316,0.374,0.258,1,"3","CD300C"
0.000125204198838406,0.616930080069595,0.393,0.279,1,"3","PSMD12"
0.00012622959654059,0.341871665985495,0.521,0.387,1,"3","SBDS"
0.000128926896112284,0.475476201204733,0.313,0.199,1,"3","LYRM4"
0.000129744264380796,0.310698170665119,0.474,0.335,1,"3","SLK"
0.000133069419290225,0.251411459730985,0.82,0.692,1,"3","CLK1"
0.00013509461949175,0.942616180924928,0.28,0.178,1,"3","THAP5"
0.000135300012705045,0.319597627831715,0.725,0.605,1,"3","NABP1"
0.000136238033820089,0.372920870141098,0.313,0.197,1,"3","CCS"
0.000137625720979777,0.506264473117328,0.322,0.206,1,"3","LRRC41"
0.000140643721287829,0.336992944639505,0.645,0.506,1,"3","HEXIM1"
0.000140893308240211,0.323978373459342,0.55,0.408,1,"3","JMY"
0.000142021697103347,0.332735627860112,0.294,0.183,1,"3","PDZD8"
0.00014687354113313,0.457991848559885,0.327,0.209,1,"3","PDE7A"
0.000148945153872946,0.5640734420162,0.313,0.204,1,"3","YTHDC2"
0.000151654544032568,0.345912276659917,0.517,0.382,1,"3","GNL3"
0.000156946655732307,0.389352692140686,0.502,0.369,1,"3","C7orf50"
0.000158981851876511,0.261055014315428,0.313,0.2,1,"3","PRKD3"
0.000159339298917565,0.255618167327497,0.265,0.16,1,"3","ITGB7"
0.000160098081507786,0.300195191157181,0.597,0.498,1,"3","LAT2"
0.000162772979345204,0.500852789858331,0.294,0.185,1,"3","COMMD10"
0.000164194292331977,0.395355615896418,0.322,0.211,1,"3","PSPC1"
0.00016522217109959,0.365558312859485,0.763,0.661,1,"3","HNRNPF"
0.000165318766865221,0.29893236571088,0.37,0.243,1,"3","TIGAR"
0.000165633961091781,0.284537383684858,0.578,0.462,1,"3","ITSN2"
0.00016836339044579,0.373817615737342,0.265,0.163,1,"3","TNRC18"
0.000178780673329919,0.742972672142383,0.275,0.17,1,"3","GFPT1"
0.000202825869900464,0.555505096449542,0.256,0.157,1,"3","ITGAE"
0.00021513885725957,0.318349335792834,0.355,0.237,1,"3","SMAD7"
0.000239280678941226,0.25249992619926,0.322,0.211,1,"3","CHD6"
0.000240986446365326,0.267627602700086,0.569,0.442,1,"3","SRSF10"
0.000248202137138063,0.403149716353178,0.365,0.259,1,"3","COPS3"
0.000249408933389221,0.475119519568663,0.294,0.191,1,"3","PHF5A"
0.000251557461600706,0.295625317363117,0.336,0.219,1,"3","FBXW11"
0.000255086422361715,0.432876866780671,0.251,0.153,1,"3","POLR3E"
0.000275667988434175,0.378612474995705,0.265,0.167,1,"3","PTPN9"
0.000282158411878055,0.323884197044832,0.36,0.245,1,"3","TLK1"
0.000284967316422128,0.267440268590881,0.445,0.32,1,"3","MGST2"
0.000291277682469249,0.374482675367766,0.389,0.28,1,"3","OLA1"
0.000292511710015279,0.483385677263327,0.502,0.376,1,"3","CHCHD7"
0.000292603521270965,0.288235782885473,0.545,0.418,1,"3","DHX36"
0.000295687302630426,0.3043355927224,0.36,0.247,1,"3","CHCHD3"
0.00030373555489952,0.303693723201101,0.46,0.336,1,"3","TCERG1"
0.000314781834117184,0.403085114030373,0.431,0.324,1,"3","FES"
0.000318743451262167,0.359859183018807,0.374,0.258,1,"3","DPM1"
0.000322989141922512,0.257000257874827,0.682,0.575,1,"3","RBMX"
0.000322989403452869,0.385134775063254,0.393,0.279,1,"3","PPIL4"
0.000325370670277582,0.589053773751212,0.256,0.159,1,"3","UTP6"
0.000334297526496427,0.295175668872845,0.398,0.282,1,"3","PARL"
0.00034128389018393,0.374400587630184,0.289,0.185,1,"3","MTPAP"
0.000341591926607934,0.462100612128096,0.55,0.43,1,"3","USP22"
0.000347512302557171,0.284921184041048,0.379,0.256,1,"3","PGP"
0.000364271514851475,0.344873501391385,0.502,0.385,1,"3","TXNRD1"
0.000365341595919312,0.252551154926946,0.46,0.337,1,"3","SMARCC1"
0.000375582264706979,0.425856465535693,0.445,0.331,1,"3","COQ10B"
0.000384219919964733,0.282400678187929,0.384,0.266,1,"3","BICD2"
0.000388413393431397,0.352274867473392,0.303,0.198,1,"3","FOXO1"
0.000393951682255625,0.355794388096177,0.389,0.279,1,"3","PQLC3"
0.000398080033150371,0.420992454948919,0.28,0.18,1,"3","RBM15B"
0.000408032116128739,0.402181841956499,0.45,0.339,1,"3","HIATL1"
0.000414288310759327,0.472284934390493,0.384,0.284,1,"3","CD33"
0.000416801741849952,0.384904227871789,0.308,0.207,1,"3","GPR35"
0.000416839123088001,0.48744101372032,0.512,0.394,1,"3","QARS"
0.000423626198669772,0.490659723322929,0.384,0.275,1,"3","SLC7A5P2"
0.000429914628353501,0.416642596875175,0.408,0.3,1,"3","KLC1"
0.000430631903707465,0.454655874300106,0.284,0.181,1,"3","CCDC91"
0.000433192025814965,0.684395382950132,0.346,0.234,1,"3","DHX8"
