"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ARAP2",2.72293309061149e-38,-0.251466201804977,0.147,0.63,7.21168829048453e-34
"ETV1",2.73725672491692e-38,0.54497928172749,0.521,0.009,7.24962443594247e-34
"NCK1",3.33225211853074e-38,-0.284201498043677,0.239,0.748,8.82546973592865e-34
"ACSL5",3.49594377604075e-38,-0.472723687638846,0.243,0.743,9.25900709084392e-34
"TSG101",3.7573479457837e-38,-0.683251144053568,0.376,0.83,9.95133603440812e-34
"USMG5",4.60440129817573e-38,-0.439758264858084,0.705,0.952,1.21947568382184e-33
"NME4",4.81089479063692e-38,-0.337763882975566,0.389,0.87,1.27416548530019e-33
"GALNT7",5.18606243866094e-38,-0.54040297906912,0.291,0.757,1.37352863687935e-33
"TMEM192",5.44293063868978e-38,-0.269449900825116,0.186,0.7,1.44156017965699e-33
"JUN",5.47694809823477e-38,1.96668583132248,0.886,0.857,1.45056970381748e-33
"H3F3A",5.50954023724741e-38,-0.497386914986819,0.812,0.961,1.45920173183498e-33
"TRAP1",6.72090051076805e-38,-0.49964972910623,0.28,0.817,1.78003050027692e-33
"EIF3M",6.93173481827339e-38,-0.577584646129896,0.545,0.922,1.83586996661971e-33
"GNAI1",7.25225885118375e-38,-0.426167275674228,0.085,0.526,1.92076075673602e-33
"PDLIM5",7.3242344013476e-38,-0.39417161210719,0.405,0.87,1.93982348119691e-33
"RNF141",7.40099025353633e-38,-0.603049327039891,0.291,0.748,1.9601522686491e-33
"COG2",7.98152702824067e-38,-0.459919962131579,0.284,0.77,2.11390743342954e-33
"TIMM17A",9.24269296656778e-38,-0.523806143666814,0.427,0.887,2.44792723219548e-33
"QDPR",1.01481177627634e-37,-0.426852061425695,0.208,0.704,2.68772898946789e-33
"ATOX1",1.03633422122031e-37,-0.378138804737866,0.584,0.926,2.74473118490199e-33
"PLS1",1.07788838801311e-37,-0.272551225772244,0.284,0.796,2.85478739565272e-33
"PRDX1",1.15200345192341e-37,-0.651927757097337,0.836,0.957,3.05108114241914e-33
"RFC1",1.19693330934084e-37,-0.318183485489032,0.291,0.826,3.1700778697892e-33
"SERPINA1",1.35447059892737e-37,2.61538444097449,0.88,0.8,3.58731538125915e-33
"LAMB3",1.41443492410815e-37,-0.9889007883829,0.499,0.865,3.74613089650045e-33
"ALDH1L1",1.47701913144842e-37,-0.263651383324494,0.026,0.404,3.91188516964114e-33
"SMUG1",1.55452441632271e-37,-0.278911979066689,0.319,0.813,4.11715791663071e-33
"ARPC5",1.7823963076686e-37,-0.984740654807628,0.626,0.935,4.72067662086028e-33
"COX14",1.85405595439734e-37,-0.525793235702152,0.584,0.917,4.91046719522137e-33
"CYB561D2",2.23833757503835e-37,-0.488469664829524,0.304,0.796,5.92823706748908e-33
"TMEM159",2.61830261444106e-37,-0.494547485015148,0.47,0.887,6.93457447434716e-33
"MAFB",2.71921538127249e-37,1.61846958926392,0.691,0.252,7.20184193730018e-33
"CRLF1",2.87815205020599e-37,0.94014557682358,0.516,0.013,7.62278570497056e-33
"GOLM1",2.91771196496998e-37,-1.25039467963025,0.606,0.9,7.72756013922299e-33
"ANAPC13",4.1489476157696e-37,-0.447604756156059,0.352,0.861,1.09884877603658e-32
"HADH",4.94012604225893e-37,-0.347809699167304,0.234,0.748,1.30839238229228e-32
"IGFBP4",6.10935273929183e-37,1.84263661897292,0.755,0.37,1.61806207300144e-32
"ANXA9",7.43850966441773e-37,-0.457317164272835,0.07,0.478,1.97008928462104e-32
"FAM83A",8.73268504684997e-37,-0.26883512416553,0.195,0.687,2.31285163465821e-32
"PRR15L",9.12084302406625e-37,-0.420630079070598,0.23,0.748,2.41565527492395e-32
"ADAM9",9.7508887523544e-37,-0.463659779346308,0.357,0.804,2.58252288606106e-32
"SLMO2",1.0121851197282e-36,-0.363498097097204,0.435,0.891,2.68077228960014e-32
"AGR2",1.11040529096634e-36,1.29699232925598,0.928,0.883,2.94090841312435e-32
"CALD1",1.11519725960911e-36,-0.494896232872441,0.044,0.43,2.95359994207472e-32
"HN1L",1.23483186552767e-36,-0.522274482028851,0.344,0.813,3.27045219585003e-32
"NMRAL1",1.24861430820319e-36,-0.505518595319928,0.418,0.887,3.30695499527616e-32
"PPP1R14C",1.35052794775271e-36,-0.461490669723357,0.077,0.496,3.57687326962305e-32
"ARMCX6",1.40167265106826e-36,-0.295199065634632,0.219,0.743,3.71233001635428e-32
"CHMP5",1.4809676294153e-36,-0.421292975590717,0.405,0.874,3.92234276650643e-32
"PRR13",2.08875931395078e-36,-0.377932460583791,0.567,0.926,5.53207904299865e-32
"CHMP1B",2.58851277240163e-36,-0.56402500750166,0.425,0.874,6.85567607770573e-32
"NDUFB10",2.59454485101521e-36,-0.645501531328871,0.685,0.965,6.87165203791379e-32
"JTB",2.82511879337392e-36,-0.629729539912168,0.81,0.948,7.48232712425083e-32
"PSMB2",4.17073840518682e-36,-0.617236458457447,0.6,0.93,1.10462006661373e-31
"PPP1R12A",4.41322402884427e-36,-0.6671825491187,0.481,0.926,1.1688423840394e-31
"NOS3",4.79174569002762e-36,-0.369543197309771,0.013,0.348,1.26909384600382e-31
