"","cell_id","norm_epi_annotation"
"P14_B003522","P14_B003522","unknown stroma"
"P18_B003529","P18_B003529","unknown stroma"
"P21_B003588","P21_B003588","unknown stroma"
"L8_B003126","L8_B003126","alveolar type 1 cell"
"B16_B003125","B16_B003125","alveolar type 1 cell"
"F19_B003654","F19_B003654","alveolar type 1 cell"
"G20_B003654","G20_B003654","alveolar type 1 cell"
"B7_B003523","B7_B003523","alveolar type 1 cell"
"H3_B003132","H3_B003132","alveolar type 1 cell"
"A13_B003771","A13_B003771","alveolar type 1 cell"
"A14_B002073","A14_B002073","alveolar type 1 cell"
"A14_B003126","A14_B003126","alveolar type 1 cell"
"A15_B003132","A15_B003132","alveolar type 1 cell"
"A16_B002074","A16_B002074","alveolar type 1 cell"
"A17_B002073","A17_B002073","alveolar type 1 cell"
"A17_B002097","A17_B002097","alveolar type 1 cell"
"A1_B003132","A1_B003132","alveolar type 1 cell"
"A1_B003191","A1_B003191","alveolar type 1 cell"
"A20_B002074","A20_B002074","alveolar type 1 cell"
"A20_B003894","A20_B003894","alveolar type 1 cell"
"A21_B002074","A21_B002074","alveolar type 1 cell"
"A22_B003132","A22_B003132","alveolar type 1 cell"
"A22_B003191","A22_B003191","alveolar type 1 cell"
"A6_B001558","A6_B001558","alveolar type 1 cell"
"A8_B001558","A8_B001558","alveolar type 1 cell"
"A9_B001554","A9_B001554","alveolar type 1 cell"
"B12_B003771","B12_B003771","alveolar type 1 cell"
"B15_B002097","B15_B002097","alveolar type 1 cell"
"B15_B003125","B15_B003125","alveolar type 1 cell"
"B16_B003132","B16_B003132","alveolar type 1 cell"
"B18_B002073","B18_B002073","alveolar type 1 cell"
"B18_B002074","B18_B002074","alveolar type 1 cell"
"B19_B002074","B19_B002074","alveolar type 1 cell"
"B20_B002074","B20_B002074","alveolar type 1 cell"
"B20_B002097","B20_B002097","alveolar type 1 cell"
"B21_B002073","B21_B002073","alveolar type 1 cell"
"B21_B002077","B21_B002077","alveolar type 1 cell"
"B22_B003187","B22_B003187","alveolar type 1 cell"
"B3_B001558","B3_B001558","alveolar type 1 cell"
"B4_B003129","B4_B003129","alveolar type 1 cell"
"B6_B001554","B6_B001554","alveolar type 1 cell"
"B6_B003187","B6_B003187","alveolar type 1 cell"
"B7_B003132","B7_B003132","alveolar type 1 cell"
"B8_B001558","B8_B001558","alveolar type 1 cell"
"B9_B001558","B9_B001558","alveolar type 1 cell"
"C11_B001554","C11_B001554","alveolar type 1 cell"
"C14_B003191","C14_B003191","alveolar type 1 cell"
"C16_B003191","C16_B003191","alveolar type 1 cell"
"C18_B002097","C18_B002097","alveolar type 1 cell"
"C1_B003191","C1_B003191","alveolar type 1 cell"
"C7_B003132","C7_B003132","alveolar type 1 cell"
"D14_B002073","D14_B002073","alveolar type 1 cell"
"D16_B003187","D16_B003187","alveolar type 1 cell"
"D17_B002074","D17_B002074","alveolar type 1 cell"
"D1_B003132","D1_B003132","alveolar type 1 cell"
"D22_B003132","D22_B003132","alveolar type 1 cell"
"D4_B003126","D4_B003126","alveolar type 1 cell"
"D6_B003125","D6_B003125","alveolar type 1 cell"
"E11_B001558","E11_B001558","alveolar type 1 cell"
"E14_B002073","E14_B002073","alveolar type 1 cell"
"E15_B002073","E15_B002073","alveolar type 1 cell"
"E15_B002074","E15_B002074","alveolar type 1 cell"
"E18_B002074","E18_B002074","alveolar type 1 cell"
"E1_B003132","E1_B003132","alveolar type 1 cell"
"E3_B003126","E3_B003126","alveolar type 1 cell"
"E8_B001554","E8_B001554","alveolar type 1 cell"
"F14_B002074","F14_B002074","alveolar type 1 cell"
"F15_B002097","F15_B002097","alveolar type 1 cell"
"F16_B003126","F16_B003126","alveolar type 1 cell"
"F17_B002073","F17_B002073","alveolar type 1 cell"
"F18_B002074","F18_B002074","alveolar type 1 cell"
"F22_B002073","F22_B002073","alveolar type 1 cell"
"F22_B002074","F22_B002074","alveolar type 1 cell"
"F2_B001558","F2_B001558","alveolar type 1 cell"
"F3_B001558","F3_B001558","alveolar type 1 cell"
"F5_B001558","F5_B001558","alveolar type 1 cell"
"F7_B001558","F7_B001558","alveolar type 1 cell"
"F8_B001554","F8_B001554","alveolar type 1 cell"
"F8_B001558","F8_B001558","alveolar type 1 cell"
"G15_B003129","G15_B003129","alveolar type 1 cell"
"G15_B003187","G15_B003187","alveolar type 1 cell"
"G5_B001558","G5_B001558","alveolar type 1 cell"
"G5_B003125","G5_B003125","alveolar type 1 cell"
"G5_B003132","G5_B003132","alveolar type 1 cell"
"G6_B001558","G6_B001558","alveolar type 1 cell"
"G9_B001558","G9_B001558","alveolar type 1 cell"
"H10_B001558","H10_B001558","alveolar type 1 cell"
"H14_B002073","H14_B002073","alveolar type 1 cell"
"H14_B003129","H14_B003129","alveolar type 1 cell"
"H21_B002073","H21_B002073","alveolar type 1 cell"
"H22_B003129","H22_B003129","alveolar type 1 cell"
"H3_B003126","H3_B003126","alveolar type 1 cell"
"H4_B001558","H4_B001558","alveolar type 1 cell"
"H4_B003132","H4_B003132","alveolar type 1 cell"
"H5_B003132","H5_B003132","alveolar type 1 cell"
"H6_B001558","H6_B001558","alveolar type 1 cell"
"H8_B001558","H8_B001558","alveolar type 1 cell"
"I16_B003126","I16_B003126","alveolar type 1 cell"
"I18_B002074","I18_B002074","alveolar type 1 cell"
"I18_B003771","I18_B003771","alveolar type 1 cell"
"I5_B003132","I5_B003132","alveolar type 1 cell"
"I6_B001554","I6_B001554","alveolar type 1 cell"
"I6_B003126","I6_B003126","alveolar type 1 cell"
"I8_B001554","I8_B001554","alveolar type 1 cell"
"J10_B001554","J10_B001554","alveolar type 1 cell"
"J14_B002073","J14_B002073","alveolar type 1 cell"
"J14_B003132","J14_B003132","alveolar type 1 cell"
"J15_B002074","J15_B002074","alveolar type 1 cell"
"J15_B003132","J15_B003132","alveolar type 1 cell"
"J15_B003187","J15_B003187","alveolar type 1 cell"
"J1_B001558","J1_B001558","alveolar type 1 cell"
"J20_B002073","J20_B002073","alveolar type 1 cell"
"J21_B002097","J21_B002097","alveolar type 1 cell"
"J22_B003129","J22_B003129","alveolar type 1 cell"
"J22_B003191","J22_B003191","alveolar type 1 cell"
"J3_B003129","J3_B003129","alveolar type 1 cell"
"J6_B003132","J6_B003132","alveolar type 1 cell"
"J8_B001554","J8_B001554","alveolar type 1 cell"
"J8_B001558","J8_B001558","alveolar type 1 cell"
"J9_B001554","J9_B001554","alveolar type 1 cell"
"J9_B001558","J9_B001558","alveolar type 1 cell"
"K10_B001554","K10_B001554","alveolar type 1 cell"
"K14_B002074","K14_B002074","alveolar type 1 cell"
"K15_B003191","K15_B003191","alveolar type 1 cell"
"K15_B003771","K15_B003771","alveolar type 1 cell"
"K17_B002074","K17_B002074","alveolar type 1 cell"
"K19_B002074","K19_B002074","alveolar type 1 cell"
"K1_B001558","K1_B001558","alveolar type 1 cell"
"K21_B002097","K21_B002097","alveolar type 1 cell"
"K22_B003125","K22_B003125","alveolar type 1 cell"
"K6_B003132","K6_B003132","alveolar type 1 cell"
"K7_B003125","K7_B003125","alveolar type 1 cell"
"K7_B003132","K7_B003132","alveolar type 1 cell"
"K8_B001554","K8_B001554","alveolar type 1 cell"
"K8_B001558","K8_B001558","alveolar type 1 cell"
"L10_B001554","L10_B001554","alveolar type 1 cell"
"L11_B001554","L11_B001554","alveolar type 1 cell"
"L11_B001558","L11_B001558","alveolar type 1 cell"
"L15_B002073","L15_B002073","alveolar type 1 cell"
"L18_B002074","L18_B002074","alveolar type 1 cell"
"L1_B003129","L1_B003129","alveolar type 1 cell"
"L1_B003132","L1_B003132","alveolar type 1 cell"
"L5_B001558","L5_B001558","alveolar type 1 cell"
"L6_B001554","L6_B001554","alveolar type 1 cell"
"L6_B001558","L6_B001558","alveolar type 1 cell"
"L8_B001558","L8_B001558","alveolar type 1 cell"
"M11_B002074","M11_B002074","alveolar type 1 cell"
"M14_B002097","M14_B002097","alveolar type 1 cell"
"M15_B002073","M15_B002073","alveolar type 1 cell"
"M16_B002073","M16_B002073","alveolar type 1 cell"
"M22_B003126","M22_B003126","alveolar type 1 cell"
"M22_B003187","M22_B003187","alveolar type 1 cell"
"M2_B001558","M2_B001558","alveolar type 1 cell"
"M2_B003132","M2_B003132","alveolar type 1 cell"
"M7_B003129","M7_B003129","alveolar type 1 cell"
"M7_B003132","M7_B003132","alveolar type 1 cell"
"M8_B003187","M8_B003187","alveolar type 1 cell"
"N13_B003771","N13_B003771","alveolar type 1 cell"
"N15_B002097","N15_B002097","alveolar type 1 cell"
"N16_B003132","N16_B003132","alveolar type 1 cell"
"N19_B003920","N19_B003920","alveolar type 1 cell"
"N1_B001558","N1_B001558","alveolar type 1 cell"
"N22_B003132","N22_B003132","alveolar type 1 cell"
"N2_B001558","N2_B001558","alveolar type 1 cell"
"N2_B003129","N2_B003129","alveolar type 1 cell"
"N6_B001558","N6_B001558","alveolar type 1 cell"
"N6_B003132","N6_B003132","alveolar type 1 cell"
"N9_B003995","N9_B003995","alveolar type 1 cell"
"O12_B003894","O12_B003894","alveolar type 1 cell"
"O2_B001558","O2_B001558","alveolar type 1 cell"
"O3_B003126","O3_B003126","alveolar type 1 cell"
"O5_B003129","O5_B003129","alveolar type 1 cell"
"O5_B003187","O5_B003187","alveolar type 1 cell"
"O5_B003995","O5_B003995","alveolar type 1 cell"
"O6_B003126","O6_B003126","alveolar type 1 cell"
"O9_B001558","O9_B001558","alveolar type 1 cell"
"P14_B003132","P14_B003132","alveolar type 1 cell"
"P19_B002074","P19_B002074","alveolar type 1 cell"
"P22_B002097","P22_B002097","alveolar type 1 cell"
"P4_B001554","P4_B001554","alveolar type 1 cell"
"P4_B003187","P4_B003187","alveolar type 1 cell"
"P6_B001558","P6_B001558","alveolar type 1 cell"
"P8_B003191","P8_B003191","alveolar type 1 cell"
"I14_B003191","I14_B003191","unknown stroma"
"L11_1001000340","L11_1001000340","unknown stroma"
"E19_B003646","E19_B003646","unknown stroma"
"N15_B003132","N15_B003132","unknown stroma"
"O21_B003646","O21_B003646","unknown stroma"
"P15_B003187","P15_B003187","unknown stroma"
"P1_B003132","P1_B003132","alveolar type 2 cell"
"E13_B002079","E13_B002079","alveolar type 2 cell"
"M2_B003191","M2_B003191","alveolar type 2 cell"
"O16_B003125","O16_B003125","unknown stroma"
"H1_1001000340","H1_1001000340","unknown stroma"
"F16_B002079","F16_B002079","alveolar type 2 cell"
"N14_B003894","N14_B003894","alveolar type 2 cell"
"N1_B003191","N1_B003191","alveolar type 2 cell"
"G1_B001474","G1_B001474","unknown stroma"
"I19_B003577","I19_B003577","club cell"
"O21_B002079","O21_B002079","unknown stroma"
"P16_B002077","P16_B002077","alveolar type 2 cell"
"A14_B003129","A14_B003129","alveolar type 2 cell"
"A14_B003132","A14_B003132","alveolar type 2 cell"
"A15_B003125","A15_B003125","alveolar type 2 cell"
"A15_B003187","A15_B003187","alveolar type 2 cell"
"A16_B003187","A16_B003187","unknown stroma"
"A19_B002074","A19_B002074","alveolar type 2 cell"
"A20_B002073","A20_B002073","alveolar type 2 cell"
"A3_B001554","A3_B001554","unknown stroma"
"A4_B001558","A4_B001558","alveolar type 2 cell"
"A5_B003129","A5_B003129","alveolar type 2 cell"
"A7_B003187","A7_B003187","alveolar type 2 cell"
"A8_B003187","A8_B003187","alveolar type 2 cell"
"B10_B003995","B10_B003995","alveolar type 2 cell"
"B16_B000420","B16_B000420","alveolar type 2 cell"
"B16_B003187","B16_B003187","alveolar type 2 cell"
"B16_B003191","B16_B003191","unknown stroma"
"B1_B003129","B1_B003129","alveolar type 2 cell"
"B3_B003187","B3_B003187","alveolar type 2 cell"
"B5_B001558","B5_B001558","alveolar type 2 cell"
"B5_B003187","B5_B003187","alveolar type 2 cell"
"B7_B003125","B7_B003125","unknown stroma"
"B7_B003126","B7_B003126","alveolar type 2 cell"
"B8_B003187","B8_B003187","alveolar type 2 cell"
"C11_B003129","C11_B003129","unknown stroma"
"C12_B003129","C12_B003129","unknown stroma"
"C13_B003129","C13_B003129","unknown stroma"
"C15_B002078","C15_B002078","alveolar type 2 cell"
"C17_B003129","C17_B003129","unknown stroma"
"C19_B002097","C19_B002097","alveolar type 2 cell"
"C19_B003129","C19_B003129","unknown stroma"
"C20_B003129","C20_B003129","unknown stroma"
"C21_B003129","C21_B003129","unknown stroma"
"C22_B003129","C22_B003129","unknown stroma"
"C4_B001554","C4_B001554","alveolar type 2 cell"
"C4_B003126","C4_B003126","alveolar type 2 cell"
"C6_B003129","C6_B003129","unknown stroma"
"C7_B001558","C7_B001558","alveolar type 2 cell"
"C7_B003125","C7_B003125","alveolar type 2 cell"
"C7_B003129","C7_B003129","alveolar type 2 cell"
"C7_B003191","C7_B003191","alveolar type 2 cell"
"C8_B003129","C8_B003129","unknown stroma"
"D10_B001554","D10_B001554","alveolar type 2 cell"
"D18_B000420","D18_B000420","alveolar type 2 cell"
"D21_B003894","D21_B003894","alveolar type 2 cell"
"D22_B002074","D22_B002074","unknown stroma"
"D22_B003654","D22_B003654","alveolar type 2 cell"
"D7_B003125","D7_B003125","unknown stroma"
"E1_B003126","E1_B003126","alveolar type 2 cell"
"E1_B003995","E1_B003995","alveolar type 2 cell"
"E20_B002074","E20_B002074","alveolar type 2 cell"
"E2_B003187","E2_B003187","alveolar type 2 cell"
"E3_B001558","E3_B001558","alveolar type 2 cell"
"E8_B003125","E8_B003125","alveolar type 2 cell"
"E8_B003132","E8_B003132","alveolar type 2 cell"
"F14_B003187","F14_B003187","alveolar type 2 cell"
"F20_B002074","F20_B002074","alveolar type 2 cell"
"F22_B003191","F22_B003191","unknown stroma"
"F2_B003126","F2_B003126","alveolar type 2 cell"
"F2_B003129","F2_B003129","alveolar type 2 cell"
"F7_B003125","F7_B003125","alveolar type 2 cell"
"F7_B003995","F7_B003995","unknown stroma"
"G11_B001558","G11_B001558","alveolar type 2 cell"
"G14_B003125","G14_B003125","alveolar type 2 cell"
"G14_B003126","G14_B003126","alveolar type 2 cell"
"G1_B001558","G1_B001558","alveolar type 2 cell"
"G20_B000420","G20_B000420","alveolar type 2 cell"
"G3_B003129","G3_B003129","alveolar type 2 cell"
"G3_B003132","G3_B003132","alveolar type 2 cell"
"G4_B003995","G4_B003995","unknown stroma"
"G7_B003125","G7_B003125","alveolar type 2 cell"
"G7_B003187","G7_B003187","alveolar type 2 cell"
"H14_B003132","H14_B003132","alveolar type 2 cell"
"H15_B003129","H15_B003129","alveolar type 2 cell"
"H15_B003191","H15_B003191","alveolar type 2 cell"
"H1_B003187","H1_B003187","alveolar type 2 cell"
"H21_B002074","H21_B002074","alveolar type 2 cell"
"H21_B003654","H21_B003654","alveolar type 2 cell"
"H2_B003071","H2_B003071","alveolar type 2 cell"
"H2_B003129","H2_B003129","alveolar type 2 cell"
"H3_B003129","H3_B003129","alveolar type 2 cell"
"H4_B003125","H4_B003125","alveolar type 2 cell"
"H7_B001558","H7_B001558","alveolar type 2 cell"
"H7_B003125","H7_B003125","unknown stroma"
"I14_B003187","I14_B003187","alveolar type 2 cell"
"I19_B002079","I19_B002079","alveolar type 2 cell"
"I1_B003132","I1_B003132","alveolar type 2 cell"
"I21_B002097","I21_B002097","alveolar type 2 cell"
"I2_B003187","I2_B003187","alveolar type 2 cell"
"I3_B003995","I3_B003995","unknown stroma"
"I7_B003125","I7_B003125","alveolar type 2 cell"
"J15_B003191","J15_B003191","alveolar type 2 cell"
"J3_B003995","J3_B003995","unknown stroma"
"J4_B003129","J4_B003129","alveolar type 2 cell"
"J6_B001554","J6_B001554","alveolar type 2 cell"
"K15_B003187","K15_B003187","alveolar type 2 cell"
"K16_B003125","K16_B003125","alveolar type 2 cell"
"K16_B003132","K16_B003132","alveolar type 2 cell"
"K19_B000420","K19_B000420","alveolar type 2 cell"
"K1_B003187","K1_B003187","alveolar type 2 cell"
"K1_B003995","K1_B003995","alveolar type 2 cell"
"K2_B003126","K2_B003126","alveolar type 2 cell"
"K2_B003187","K2_B003187","alveolar type 2 cell"
"K3_B003126","K3_B003126","alveolar type 2 cell"
"K3_B003187","K3_B003187","alveolar type 2 cell"
"K6_B001558","K6_B001558","alveolar type 2 cell"
"K7_B001558","K7_B001558","alveolar type 2 cell"
"K8_B003126","K8_B003126","alveolar type 2 cell"
"L10_B003523","L10_B003523","alveolar type 2 cell"
"L13_B003771","L13_B003771","alveolar type 2 cell"
"L14_B003187","L14_B003187","alveolar type 2 cell"
"L15_B002078","L15_B002078","alveolar type 2 cell"
"L15_B003191","L15_B003191","alveolar type 2 cell"
"L16_B003129","L16_B003129","unknown stroma"
"L18_B002077","L18_B002077","alveolar type 2 cell"
"L18_B003129","L18_B003129","unknown stroma"
"L19_B003129","L19_B003129","unknown stroma"
"L21_B002074","L21_B002074","alveolar type 2 cell"
"L21_B003129","L21_B003129","unknown stroma"
"L22_B003129","L22_B003129","unknown stroma"
"L22_B003646","L22_B003646","unknown stroma"
"L3_B003125","L3_B003125","unknown stroma"
"L3_B003132","L3_B003132","alveolar type 2 cell"
"L3_B003187","L3_B003187","alveolar type 2 cell"
"L5_B001554","L5_B001554","alveolar type 2 cell"
"L6_B003187","L6_B003187","alveolar type 2 cell"
"L7_B003132","L7_B003132","alveolar type 2 cell"
"M13_B003771","M13_B003771","alveolar type 2 cell"
"M14_B003187","M14_B003187","alveolar type 2 cell"
"M15_B003125","M15_B003125","alveolar type 2 cell"
"M16_B003126","M16_B003126","alveolar type 2 cell"
"M1_B003126","M1_B003126","alveolar type 2 cell"
"M20_B003995","M20_B003995","unknown stroma"
"M22_B002074","M22_B002074","alveolar type 2 cell"
"M3_B003126","M3_B003126","alveolar type 2 cell"
"M3_B003187","M3_B003187","alveolar type 2 cell"
"M5_B001554","M5_B001554","alveolar type 2 cell"
"M5_B003132","M5_B003132","alveolar type 2 cell"
"M7_B003125","M7_B003125","alveolar type 2 cell"
"M9_B003995","M9_B003995","unknown stroma"
"N14_B003126","N14_B003126","alveolar type 2 cell"
"N15_B003125","N15_B003125","alveolar type 2 cell"
"N16_B000420","N16_B000420","alveolar type 2 cell"
"N1_B003187","N1_B003187","alveolar type 2 cell"
"N21_B002074","N21_B002074","alveolar type 2 cell"
"N3_B003126","N3_B003126","alveolar type 2 cell"
"N7_B003129","N7_B003129","alveolar type 2 cell"
"N8_B003125","N8_B003125","alveolar type 2 cell"
"N8_B003129","N8_B003129","alveolar type 2 cell"
"N8_B003132","N8_B003132","alveolar type 2 cell"
"O10_B001558","O10_B001558","alveolar type 2 cell"
"O11_B001554","O11_B001554","alveolar type 2 cell"
"O11_B001558","O11_B001558","alveolar type 2 cell"
"O15_B003132","O15_B003132","alveolar type 2 cell"
"O19_B000420","O19_B000420","alveolar type 2 cell"
"O1_B003132","O1_B003132","alveolar type 2 cell"
"O2_B003129","O2_B003129","alveolar type 2 cell"
"O2_B003132","O2_B003132","alveolar type 2 cell"
"O3_B003132","O3_B003132","alveolar type 2 cell"
"O3_B003187","O3_B003187","alveolar type 2 cell"
"O4_B003126","O4_B003126","alveolar type 2 cell"
"O5_B003125","O5_B003125","unknown stroma"
"O6_B001558","O6_B001558","alveolar type 2 cell"
"O6_B003191","O6_B003191","alveolar type 2 cell"
"O7_B003125","O7_B003125","alveolar type 2 cell"
"O8_B003129","O8_B003129","alveolar type 2 cell"
"O8_B003132","O8_B003132","alveolar type 2 cell"
"P10_B003656","P10_B003656","unknown stroma"
"P12_B003656","P12_B003656","unknown stroma"
"P13_B003656","P13_B003656","unknown stroma"
"P14_B002097","P14_B002097","alveolar type 2 cell"
"P14_B003191","P14_B003191","alveolar type 2 cell"
"P14_B003656","P14_B003656","unknown stroma"
"P16_B003129","P16_B003129","alveolar type 2 cell"
"P17_B003656","P17_B003656","unknown stroma"
"P18_B002097","P18_B002097","alveolar type 2 cell"
"P18_B003656","P18_B003656","unknown stroma"
"P18_B003995","P18_B003995","alveolar type 2 cell"
"P19_B003656","P19_B003656","unknown stroma"
"P1_B003126","P1_B003126","unknown stroma"
"P1_B003187","P1_B003187","alveolar type 2 cell"
"P20_B003656","P20_B003656","unknown stroma"
"P22_B000422","P22_B000422","alveolar type 2 cell"
"P22_B003656","P22_B003656","unknown stroma"
"P2_B000419","P2_B000419","alveolar type 2 cell"
"P2_B003656","P2_B003656","unknown stroma"
"P3_B003126","P3_B003126","alveolar type 2 cell"
"P3_B003191","P3_B003191","alveolar type 2 cell"
"P5_B003125","P5_B003125","unknown stroma"
"P5_B003129","P5_B003129","alveolar type 2 cell"
"P5_B003187","P5_B003187","alveolar type 2 cell"
"P6_B003187","P6_B003187","alveolar type 2 cell"
"P7_B001554","P7_B001554","alveolar type 2 cell"
"P7_B003125","P7_B003125","alveolar type 2 cell"
"P7_B003187","P7_B003187","alveolar type 2 cell"
"P7_B003656","P7_B003656","unknown stroma"
"P8_B003125","P8_B003125","alveolar type 2 cell"
"P8_B003187","P8_B003187","alveolar type 2 cell"
"P9_B003656","P9_B003656","unknown stroma"
"C16_B000420","C16_B000420","club cell"
"C20_B000420","C20_B000420","club cell"
"D18_B002078","D18_B002078","club cell"
"D21_B000420","D21_B000420","club cell"
"D22_B000420","D22_B000420","club cell"
"F19_B000420","F19_B000420","club cell"
"G22_B002078","G22_B002078","club cell"
"I20_B000420","I20_B000420","club cell"
"J20_B000420","J20_B000420","club cell"
"L19_B000420","L19_B000420","club cell"
"O15_B001007","O15_B001007","club cell"
"O17_B000420","O17_B000420","club cell"
"O18_B001007","O18_B001007","club cell"
"D2_B001558","D2_B001558","club cell"
"A7_B003577","A7_B003577","alveolar type 2 cell"
"B19_B000422","B19_B000422","alveolar type 2 cell"
"F22_B002078","F22_B002078","alveolar type 2 cell"
"G21_B000422","G21_B000422","alveolar type 2 cell"
"L19_B000422","L19_B000422","alveolar type 2 cell"
"A10_B001470","A10_B001470","alveolar type 2 cell"
"A10_B003528","A10_B003528","alveolar type 2 cell"
"A11_B001558","A11_B001558","alveolar type 2 cell"
"A11_B003577","A11_B003577","alveolar type 2 cell"
"A15_B002074","A15_B002074","alveolar type 2 cell"
"A1_B001558","A1_B001558","alveolar type 2 cell"
"A3_B001558","A3_B001558","alveolar type 2 cell"
"A4_B003132","A4_B003132","alveolar type 2 cell"
"A4_B003187","A4_B003187","alveolar type 2 cell"
"A5_B001554","A5_B001554","alveolar type 2 cell"
"A6_B003132","A6_B003132","alveolar type 2 cell"
"A7_B003126","A7_B003126","alveolar type 2 cell"
"A7_B003191","A7_B003191","alveolar type 2 cell"
"A7_B003528","A7_B003528","alveolar type 2 cell"
"B10_B001554","B10_B001554","alveolar type 2 cell"
"B11_B001554","B11_B001554","alveolar type 2 cell"
"B15_B002073","B15_B002073","alveolar type 2 cell"
"B2_B003132","B2_B003132","alveolar type 2 cell"
"B3_B003191","B3_B003191","alveolar type 2 cell"
"B4_B003187","B4_B003187","alveolar type 2 cell"
"B4_B003191","B4_B003191","alveolar type 2 cell"
"B5_B003129","B5_B003129","alveolar type 2 cell"
"B6_B003126","B6_B003126","alveolar type 2 cell"
"B8_B003191","B8_B003191","alveolar type 2 cell"
"C15_B003129","C15_B003129","alveolar type 2 cell"
"C16_B003920","C16_B003920","alveolar type 2 cell"
"C18_B003129","C18_B003129","unknown stroma"
"C1_B001558","C1_B001558","alveolar type 2 cell"
"C20_B002073","C20_B002073","alveolar type 2 cell"
"C21_B003995","C21_B003995","alveolar type 2 cell"
"C2_B003129","C2_B003129","alveolar type 2 cell"
"C2_B003191","C2_B003191","alveolar type 2 cell"
"C5_B003132","C5_B003132","alveolar type 2 cell"
"C5_B003191","C5_B003191","alveolar type 2 cell"
"C6_B003132","C6_B003132","alveolar type 2 cell"
"C7_B003528","C7_B003528","alveolar type 2 cell"
"C8_B003528","C8_B003528","alveolar type 2 cell"
"C9_B003523","C9_B003523","alveolar type 2 cell"
"D14_B002074","D14_B002074","alveolar type 2 cell"
"D15_B002074","D15_B002074","alveolar type 2 cell"
"D15_B002097","D15_B002097","alveolar type 2 cell"
"D15_B003126","D15_B003126","alveolar type 2 cell"
"D1_B001558","D1_B001558","alveolar type 2 cell"
"D20_B002077","D20_B002077","alveolar type 2 cell"
"D21_B003995","D21_B003995","alveolar type 2 cell"
"D22_B002079","D22_B002079","alveolar type 2 cell"
"D2_B003129","D2_B003129","alveolar type 2 cell"
"D3_B003129","D3_B003129","alveolar type 2 cell"
"D3_B003187","D3_B003187","alveolar type 2 cell"
"D5_B003129","D5_B003129","alveolar type 2 cell"
"D6_B001558","D6_B001558","alveolar type 2 cell"
"D6_B003187","D6_B003187","alveolar type 2 cell"
"D7_B001475","D7_B001475","alveolar type 2 cell"
"D9_B001554","D9_B001554","alveolar type 2 cell"
"D9_B001558","D9_B001558","alveolar type 2 cell"
"D9_B003523","D9_B003523","alveolar type 2 cell"
"E10_B003528","E10_B003528","alveolar type 2 cell"
"E10_B003577","E10_B003577","alveolar type 2 cell"
"E11_B001554","E11_B001554","alveolar type 2 cell"
"E12_B003920","E12_B003920","alveolar type 2 cell"
"E14_B003995","E14_B003995","alveolar type 2 cell"
"E16_B003129","E16_B003129","alveolar type 2 cell"
"E18_B000422","E18_B000422","alveolar type 2 cell"
"E2_B003132","E2_B003132","alveolar type 2 cell"
"E5_B003126","E5_B003126","alveolar type 2 cell"
"E6_B001558","E6_B001558","alveolar type 2 cell"
"E6_B003191","E6_B003191","alveolar type 2 cell"
"E7_B003132","E7_B003132","alveolar type 2 cell"
"E9_B003523","E9_B003523","alveolar type 2 cell"
"F12_B003771","F12_B003771","alveolar type 2 cell"
"F14_B003129","F14_B003129","alveolar type 2 cell"
"F14_B003191","F14_B003191","alveolar type 2 cell"
"F15_B003125","F15_B003125","alveolar type 2 cell"
"F15_B003132","F15_B003132","alveolar type 2 cell"
"F16_B002073","F16_B002073","alveolar type 2 cell"
"F17_B002077","F17_B002077","alveolar type 2 cell"
"F17_B003995","F17_B003995","alveolar type 2 cell"
"F21_B002073","F21_B002073","alveolar type 2 cell"
"F3_B003187","F3_B003187","alveolar type 2 cell"
"F3_B003191","F3_B003191","alveolar type 2 cell"
"F4_B003129","F4_B003129","alveolar type 2 cell"
"F4_B003187","F4_B003187","alveolar type 2 cell"
"F5_B003187","F5_B003187","alveolar type 2 cell"
"F6_B003191","F6_B003191","alveolar type 2 cell"
"F7_B003191","F7_B003191","alveolar type 2 cell"
"F9_B001554","F9_B001554","alveolar type 2 cell"
"G10_B001558","G10_B001558","alveolar type 2 cell"
"G10_B003523","G10_B003523","alveolar type 2 cell"
"G14_B003129","G14_B003129","alveolar type 2 cell"
"G14_B003132","G14_B003132","alveolar type 2 cell"
"G15_B003125","G15_B003125","alveolar type 2 cell"
"G16_B002073","G16_B002073","alveolar type 2 cell"
"G16_B003132","G16_B003132","alveolar type 2 cell"
"G18_B002073","G18_B002073","alveolar type 2 cell"
"G22_B002073","G22_B002073","alveolar type 2 cell"
"G22_B003920","G22_B003920","alveolar type 2 cell"
"G4_B003187","G4_B003187","alveolar type 2 cell"
"G6_B003126","G6_B003126","alveolar type 2 cell"
"G6_B003191","G6_B003191","alveolar type 2 cell"
"G7_B003129","G7_B003129","alveolar type 2 cell"
"G7_B003132","G7_B003132","alveolar type 2 cell"
"G8_B001554","G8_B001554","alveolar type 2 cell"
"G9_B001554","G9_B001554","alveolar type 2 cell"
"H11_B001554","H11_B001554","alveolar type 2 cell"
"H13_B002079","H13_B002079","alveolar type 2 cell"
"H14_B003771","H14_B003771","alveolar type 2 cell"
"H15_B000422","H15_B000422","alveolar type 2 cell"
"H15_B002073","H15_B002073","alveolar type 2 cell"
"H18_B002074","H18_B002074","alveolar type 2 cell"
"H2_B003126","H2_B003126","alveolar type 2 cell"
"H2_B003132","H2_B003132","alveolar type 2 cell"
"H4_B003191","H4_B003191","alveolar type 2 cell"
