"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"RAC1";1,24681924786318e-163;-1,08886501780824;0,958;0,993;3,30220077796564e-159
"ICAM1";1,05178060574413e-162;1,45607117727288;0,867;0,58;2,78564093431332e-158
"SMAGP";2,42373603016914e-162;-0,601372481740663;0,194;0,77;6,41926487590298e-158
"PLXNA2";2,51397610954152e-161;0,892826944092901;0,678;0,162;6,65826572612072e-157
"FAM184A";3,63726492836412e-161;0,57309041484492;0,565;0,066;9,63329616277238e-157
"TIMP1";6,24882644767301e-161;-0,6183680289693;0,346;0,902;1,6550016846662e-156
"PPP1R10";1,01520738510646e-160;1,06563702973164;0,86;0,651;2,68877675945446e-156
"B3GNT3";1,71112099692911e-160;-0,47588974681042;0,107;0,631;4,53190396036674e-156
"IRX3";2,63263529256391e-160;0,520658126411843;0,701;0,206;6,97253457235552e-156
"GLCCI1";4,87084654867255e-160;0,96093277402391;0,726;0,314;1,29004370841592e-155
"GGTLC1";9,68243354084745e-160;0,574990630779391;0,432;0,011;2,56439252329345e-155
"ADGRD1";1,79018569223521e-158;0,422968237575353;0,491;0,028;4,74130680588495e-154
"PDE4C";6,94383343694458e-158;1,00012282455755;0,502;0,042;1,83907428577477e-153
"COMTD1";7,55895587420669e-158;-0,405949696942271;0,248;0,833;2,00198946328364e-153
"BCL2A1";1,25529626951146e-157;-0,349074164122579;0,031;0,482;3,32465216980111e-153
"ARNTL2";3,54508565129594e-157;-0,423463061090423;0,135;0,721;9,38915934745731e-153
"ICAM4";9,93140562704342e-157;0,718808962668537;0,622;0,113;2,63033278032245e-152
"HLA-DRB6";1,07905838946059e-156;0,420906537861198;0,692;0,678;2,85788614448638e-152
"TRA2A";1,78283024759769e-155;0,753436079667881;0,984;0,951;4,72182591076249e-151
"TRIM29";2,30732323396977e-155;-0,897225269436551;0,201;0,789;6,11094558516894e-151
"VTCN1";2,85281774243292e-155;-0,384283767268836;0,03;0,423;7,5556877908336e-151
"EMP2";1,30014855290242e-154;1,17164584480632;0,976;0,942;3,44344344236207e-150
"TNFRSF21";3,16090824446782e-154;-0,412833973380879;0,241;0,825;8,37166548547301e-150
"BID";3,73884356499724e-154;-0,824521832835209;0,327;0,82;9,9023271818952e-150
"AQP1";5,14433735113394e-154;1,20286880652997;0,61;0,091;1,36247774744782e-149
"BTG2";7,42072906928075e-154;0,857516856531482;0,841;0,378;1,96538009399901e-149
"PEBP4";7,26391026426659e-153;0,733704579222035;0,43;0,014;1,92384663349101e-148
"ITGA2";1,42649953651707e-152;-0,480607440027412;0,198;0,781;3,77808402246545e-148
