"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"CITED2",1.18981570530941e-101,0.932561426536698,0.729,0.378,3.15122689551198e-97,0.330935251798561,8,0.727728983688833,11,"CITED2","p_val_adj<0.05"
"SFTPA1",3.21549285305126e-23,0.931744545006375,0.274,0.109,8.51623282130627e-19,0.452229299363057,6,0.460869565217391,8,"SFTPA1","p_val_adj<0.05"
"CD55",8.10917080927449e-19,0.92945247029192,0.948,0.894,2.14771388883635e-14,0.35239852398524,10,0.507692307692308,11,"CD55","p_val_adj<0.05"
"DEGS2",1.69710465021057e-106,0.91888120414639,0.519,0.126,4.49478166608269e-102,0.447811447811448,9,0.535849056603774,6,"DEGS2","p_val_adj<0.05"
"CLIC6",2.00816762775169e-162,0.897433658686315,0.76,0.237,5.31863196210035e-158,0.374712643678161,9,0.645290581162325,10,"CLIC6","p_val_adj<0.05"
"HLA-DRA",9.08946796683815e-51,0.89721413412179,0.963,0.93,2.40734559101708e-46,0.339382940108893,10,0.466870540265036,11,"HLA-DRA","p_val_adj<0.05"
"RSRP1",9.78261074215594e-32,0.893217998861076,0.806,0.782,2.59092445506e-27,0.392624728850325,9,0.503030303030303,10,"RSRP1","p_val_adj<0.05"
"PLXNA2",8.79385755225176e-158,0.892826944092901,0.678,0.162,2.32905317271388e-153,0.420103092783505,8,0.55425219941349,9,"PLXNA2","p_val_adj<0.05"
"SCNN1B",3.22645971432162e-126,0.890901989643284,0.68,0.227,8.5452785533808e-122,0.42159383033419,8,0.298538622129436,10,"SCNN1B","p_val_adj<0.05"
"HEXIM1",6.40428160331123e-63,0.886866955648905,0.837,0.736,1.69617398263698e-58,0.37160751565762,9,0.554768041237113,11,"HEXIM1","p_val_adj<0.05"
"LMO7",1.04885353919265e-50,0.88089277904101,0.916,0.835,2.77788859855174e-46,0.364503816793893,9,0.536322360953462,10,"LMO7","p_val_adj<0.05"
"MAGI3",8.43019969768646e-97,0.875118135209448,0.708,0.346,2.23273838993226e-92,0.432098765432099,7,0.537722908093278,10,"MAGI3","p_val_adj<0.05"
"CEBPD",3.24885954971442e-16,0.86995545176766,0.883,0.92,8.60460451741865e-12,0.364356435643564,8,0.489175257731959,11,"CEBPD","p_val_adj<0.05"
"IFT57",6.55162005553981e-24,0.866730440367972,0.82,0.87,1.73519657170972e-19,0.402985074626866,9,0.510626702997275,11,"IFT57","p_val_adj<0.05"
"BTG2",1.09449092748349e-117,0.857516856531482,0.841,0.378,2.89875922144002e-113,0.349272349272349,8,0.677944862155389,11,"BTG2","p_val_adj<0.05"
"ADGRF5",3.00638000386287e-201,0.856134055385072,0.787,0.168,7.96239744023081e-197,0.368888888888889,8,0.27887323943662,10,"ADGRF5","p_val_adj<0.05"
"SON",1.21741293296342e-83,0.855496773732779,0.995,0.966,3.22431815295362e-79,0.339191564147627,10,0.468596663395486,11,"SON","p_val_adj<0.05"
"JUND",4.32905188950072e-121,0.854736734141313,0.934,0.854,1.14654939293426e-116,0.352059925093633,9,0.511382565241532,10,"JUND","p_val_adj<0.05"
"PLEKHG2",2.06750846848355e-25,0.854594212519891,0.521,0.375,5.47579617877868e-21,0.419463087248322,6,0.734177215189873,10,"PLEKHG2","p_val_adj<0.05"
"ADRB2",3.99015418335853e-115,0.849525935068092,0.593,0.157,1.05679233546251e-110,0.433628318584071,9,0.299093655589124,9,"ADRB2","p_val_adj<0.05"
"ALDH2",4.3200875944271e-63,0.848167182468998,0.869,0.723,1.14417519938402e-58,0.372233400402414,9,0.494426229508197,10,"ALDH2","p_val_adj<0.05"
